,위      치,아파트명,동수,층수,세대수,인구수,건축 연도,lat,lng,연식,score
0,남산로13길17,보성황실타운,8,25,1058,3321,1993,35.8604845,128.5812157,27,30
1,남산로13길70,한마음,1,10,76,304,2003,35.86096920000001,128.5790103,17,20
2,남성로13,희도,1,9,53,265,1975,35.8696398,128.5883087,45,40
3,달구벌대로1937,동서타운,4,5,145,652,1985,35.8638639,128.5753408,35,40
4,달구벌대로 1943,대신e편한세상,7,29,467,1868,2018,35.8635766,128.5767959,2,10
5,달구벌대로1950,남산그린타운,8,24,804,2342,2005,35.86225820000001,128.5773123,15,20
6,달구벌대로1955,대신센트럴자이,13,34,1147,3400,2015,35.8639029,128.5781015,5,10
7,달구벌대로1960,남산휴먼시아1단지,5,25,499,1270,2008,35.862681200000004,128.57855220000002,12,20
8,달구벌대로1970,남산휴먼시아2단지,6,25,604,1016,2008,35.863368,128.5802524,12,20
9,달구벌대로1975,태왕아너스스카이,6,31,492,1007,2006,35.865035799999994,128.5797873,14,20
10,달구벌대로2035,동산,1,17,152,684,1986,35.8670295,128.58611570000002,34,40
11,달구벌대로2051,신성미소시티,2,28,250,875,2007,35.8668491,128.5885438,13,20
12,달구벌대로389길70,협화,1,5,34,176,1980,35.8662616,128.5758553,40,40
13,달구벌대로447길77,삼덕청아람리슈빌,7,36,730,2190,2013,35.866645399999996,128.6064814,7,10
14,대봉로220-41,청운 아트빌,1,8,15,45,2000,35.858690700000004,128.6024763,20,30
15,대봉로226,대봉화성그린빌,1,10,19,41,1996,35.858801,128.6016822,24,30
16,대봉로230,대봉광명맨션,2,4,32,128,1978,35.859223799999995,128.6014961,42,40
17,대봉로254,청구,2,12,183,878,1978,35.861246799999996,128.6017571,42,40
18,대봉로260,센트로 팰리스,7,43,843,2077,2007,35.861887200000005,128.60185719999998,13,20
19,동덕로33,청운,7,13,669,3211,1986,35.8580989,128.603837,34,40
20,동덕로55,대봉태왕아너스,6,23,410,410,2015,35.8563675,128.6001646,5,10
21,동덕로109,아진,1,7,27,108,1979,35.8645376,128.6026424,41,40
22,동덕로30길63-11,동인삼정그린코아,1,20,174,466,2009,35.8673292,128.6072633,11,20
23,동덕로36길57,동삼,1,6,77,346,1984,35.870250799999994,128.60771409999998,36,40
24,경상감영길111,무궁화,1,7,24,124,1980,35.881269200000006,128.6638551,40,40
25,경상감영길117-7,대보,1,7,107,535,1980,35.87263,128.59358419999998,40,40
26,공평로105,노마즈 하우스,1,19,269,538,2014,35.87353050000001,128.6011047,6,10
27,공평로4길23-10,나누리,1,7,10,40,2002,35.8657566,128.6014867,18,20
28,공평로4길24-14,삼덕 드림타운,1,9,14,42,2003,35.8647399,128.6009409,17,20
29,공평로4길37-10,삼덕 인베스트,1,8,14,56,2005,35.8655895,128.6022672,15,20
30,공평로10길30-74,홍길 아파트,1,9,16,64,2001,35.866914,128.6030834,19,20
31,공평로10길60,삼덕 아이파크,1,12,40,160,2003,35.8672805,128.60314920000002,17,20
32,국채보상로749,동부상가,1,5,69,246,1975,35.8687493,128.61247859999997,45,40
33,국채보상로101길21,석우 리치타운,1,10,18,30,2007,35.871435999999996,128.5840862,13,20
34,국채보상로131길55,동인 시티타운,1,15,204,580,1997,35.87249179999999,128.6020969,23,30
35,국채보상로131길60,아트타운 ,1,10,18,44,2003,35.8723722,128.6027493,17,20
36,국채보상로143길74,동남맨션,1,5,30,154,1979,35.8722285,128.6094446,41,40
37,국채보상로143길74-15,협화동인빌라,1,9,18,82,1992,35.87229680000001,128.6098283,28,30
38,국채보상로149길50,동인시영,5,4,272,1360,1969,35.870622999999995,128.6118054,51,40
39,국채보상로151길9,금호,1,5,36,103,1978,35.869035499999995,128.61202240000003,42,40
40,남산로30,극동스타클래스남산,10,30,946,2838,2014,35.858991700000004,128.58293419999998,6,10
41,남산로4길58,현서 그린빌,1,6,13,52,2003,35.859418299999994,128.58528909999998,17,20
42,남산로4길91,보성송림,3,19,317,1290,1992,35.8610413,128.58459679999999,28,30
43,남산로6길23-9,부림 베스트빌,1,6,10,40,2001,35.8595529,128.5861426,19,20
44,남산로6안길47,로하스 남산,1,19,29,116,2018,35.8567336,128.5861711,2,10
45,남산로7길 7,남산역 화성파크드림,5,23,415,1660,2018,35.8600569,128.5796626,2,10
46,남산로7길77,남산모던,1,7,12,48,2005,35.859975,128.5790285,15,20
47,남산로7길80,까치,3,15,690,2877,1992,35.8599331,128.579677,28,30
48,동덕로38길62,극동,1,5,35,140,1980,35.870834499999994,128.6081228,40,40
49,동덕로38길100,동인삼익,4,5,80,320,1977,35.870513,128.60986440000002,43,40
50,동덕로40길77,동인맨션,1,5,46,184,1979,35.8714804,128.60943659999998,41,40
51,명덕로221,수도맨션,1,5,24,108,1977,35.856861200000004,128.5944831,43,40
52,명덕로55길25,대봉화성파크드림,2,15,263,741,2006,35.856572899999996,128.5991786,14,20
53,명륜로19,인터불고코아시스,1,17,192,384,2014,35.8623065,128.59386,6,10
54,명륜로70,남문1지구,1,5,60,325,1975,35.861070899999994,128.5919889,45,40
55,명륜로126-1,IREX,2,10,27,54,2016,35.859739399999995,128.598051,4,10
56,명륜로161,대봉맨션,2,7,84,403,1973,35.8608101,128.6018546,47,40
57,명륜로165,송정,1,5,16,80,1980,35.8608386,128.60245600000002,40,40
58,명륜로173,한양가든,1,8,19,91,1982,35.8609758,128.6031535,38,40
59,명륜로28길28,금천 아파트,1,4,11,44,1986,35.858448100000004,128.597625,34,40
60,봉산문화길69,봉산 뜨란채,3,20,295,783,2006,35.862398999999996,128.5968142,14,20
61,서성로88-5,경진테크빌 101,1,11,19,76,2003,35.8747408,128.5882212,17,20
62,서성로88-5,경진테크빌 102,1,11,19,76,2003,35.8747408,128.5882212,17,20
63,서성로99,대구역센트럴자이,6,39,1005,2808,2017,35.875955,128.5868818,3,10
64,서성로15길10,서성로훼미리타운,1,9,19,76,2003,35.8733636,128.58710259999998,17,20
65,시장북로9-2,센텀리움,1,9,24,48,2016,35.8725742,128.5830138,4,10
66,신암로6,삼승 슈퍼타워,1,15,84,167,2007,35.873128200000004,128.6051249,13,20
67,이천로222-6,봉산동 시티타운,1,10,18,72,2003,35.8607764,128.59958899999998,17,20
68,중앙대로307-16,남문2지구,1,4,70,360,1975,35.861078899999995,128.591473,45,40
69,중앙대로307-22,남문3지구,1,4,16,64,1981,35.861224,128.59110090000001,39,40
70,중앙대로323,반월당 SK허브스카이,1,31,134,469,2006,35.862092,128.5925557,14,20
71,중앙대로58길5,시티뷰,1,10,16,48,2017,35.857667,128.59155619999999,3,10
72,중앙대로66길20,반월당효성해링턴플레이스,5,29,499,1497,2014,35.8613112,128.5933014,6,10
