,Unnamed: 0,위      치,아파트명,동수,층수,세대수,인구수,사  업 주체별,관리별,건축 연도,관리실 전  화,lat,lng,location
0,0,남산로13길17,보성황실타운,8,25,1058,3321,민간,자치,1993,254-4759,35.8604845,128.5812157,대구광역시 중구 남산동
1,1,남산로13길70,한마음,1,10,76,304,민간,임의,2003,256-3181,35.86096920000001,128.5790103,대구광역시 중구 남산동
2,2,남성로13,희도,1,9,53,265,민간,임의,1975,254-6453,35.8696398,128.5883087,대구광역시 중구 남산동
3,3,달구벌대로1937,동서타운,4,5,145,652,민간,임의,1985,257-3036,35.8638639,128.5753408,대구광역시 중구 수동
4,4,달구벌대로 1943,대신e편한세상,7,29,467,1868,민간,위탁,2018,253-0661,35.8635766,128.5767959,대구광역시 중구 대신동
5,5,달구벌대로1950,남산그린타운,8,24,804,2342,도시 공사,위탁,2005,255-8997,35.86225820000001,128.5773123,대구광역시 중구 대신동
6,6,달구벌대로1955,대신센트럴자이,13,34,1147,3400,민간,위탁,2015,431-0107,35.8639029,128.5781015,대구광역시 중구 남산동
7,7,달구벌대로1960,남산휴먼시아1단지,5,25,499,1270,LH,위탁,2008,257-8600,35.862681200000004,128.57855220000002,대구광역시 중구 대신동
8,8,달구벌대로1970,남산휴먼시아2단지,6,25,604,1016,LH,위탁,2008,427-2425,35.863368,128.5802524,대구광역시 중구 남산동
9,9,달구벌대로1975,태왕아너스스카이,6,31,492,1007,민간,위탁,2006,424-0532,35.865035799999994,128.5797873,대구광역시 중구 남산동
10,10,달구벌대로2035,동산,1,17,152,684,LH,자치,1986,252-9183,35.8670295,128.58611570000002,대구광역시 중구 대신동
11,11,달구벌대로2051,신성미소시티,2,28,250,875,민간,자치,2007,428-5880,35.8668491,128.5885438,대구광역시 중구 동산동
12,12,달구벌대로389길70,협화,1,5,34,176,민간,임의,1980,252-0012,35.8662616,128.5758553,대구광역시 중구 계산동2가
13,13,달구벌대로447길77,삼덕청아람리슈빌,7,36,730,2190,도시 공사,위탁,2013,427-1901,35.866645399999996,128.6064814,대구광역시 중구 대신동
14,14,대봉로220-41,청운 아트빌,1,8,15,45,민간,임의,2000,425-5573,35.858690700000004,128.6024763,대구광역시 중구 삼덕동3가
15,15,대봉로226,대봉화성그린빌,1,10,19,41,민간,임의,1996,　,35.858801,128.6016822,대구광역시 중구 대봉동
16,16,대봉로230,대봉광명맨션,2,4,32,128,민간,임의,1978,　,35.859223799999995,128.6014961,대구광역시 중구 대봉동
17,17,대봉로254,청구,2,12,183,878,민간,자치,1978,426-9431,35.861246799999996,128.6017571,대구광역시 중구 대봉동
18,18,대봉로260,센트로 팰리스,7,43,843,2077,민간,위탁,2007,431-2114,35.861887200000005,128.60185719999998,대구광역시 중구 대봉동
19,19,동덕로33,청운,7,13,669,3211,민간,자치,1986,423-3227,35.8580989,128.603837,대구광역시 중구 대봉동
20,20,동덕로55,대봉태왕아너스,6,23,410,410,민간,위탁,2015,428-9891,35.8563675,128.6001646,대구광역시 중구 대봉동
21,21,동덕로109,아진,1,7,27,108,민간,임의,1979,422-4411,35.8645376,128.6026424,대구광역시 중구 대봉동
22,22,동덕로30길63-11,동인삼정그린코아,1,20,174,466,민간,위탁,2009,422-0548,35.8673292,128.6072633,대구광역시 중구 삼덕동2가
23,23,동덕로36길57,동삼,1,6,77,346,민간,임의,1984,422-2605,35.870250799999994,128.60771409999998,대구광역시 중구 동인동4가
24,24,경상감영길111,무궁화,1,7,24,124,민간,임의,1980,255-3212,35.881269200000006,128.6638551, 
25,25,경상감영길117-7,대보,1,7,107,535,민간,임의,1980,252-8187,35.87263,128.59358419999998, 
26,26,공평로105,노마즈 하우스,1,19,269,538,민간,자치,2014,254-5250,35.87353050000001,128.6011047, 
27,27,공평로4길23-10,나누리,1,7,10,40,민간,임의,2002,　,35.8657566,128.6014867,대구광역시 중구 향촌동
28,28,공평로4길24-14,삼덕 드림타운,1,9,14,42,민간,임의,2003,　,35.8647399,128.6009409,대구광역시 중구 교동
29,29,공평로4길37-10,삼덕 인베스트,1,8,14,56,민간,임의,2005,　,35.8655895,128.6022672,대구광역시 중구 삼덕동2가
30,30,공평로10길30-74,홍길 아파트,1,9,16,64,민간,임의,2001,　,35.866914,128.6030834,대구광역시 중구 삼덕동2가
31,31,공평로10길60,삼덕 아이파크,1,12,40,160,민간,임의,2003,252-1369,35.8672805,128.60314920000002,대구광역시 중구 삼덕동2가
32,32,국채보상로749,동부상가,1,5,69,246,민간,임의,1975,424-5118,35.8687493,128.61247859999997,대구광역시 중구 삼덕동2가
33,33,국채보상로101길21,석우 리치타운,1,10,18,30,민간,임의,2007,　,35.871435999999996,128.5840862,대구광역시 중구 삼덕동2가
34,34,국채보상로131길55,동인 시티타운,1,15,204,580,도시 공사,위탁,1997,424-7416,35.87249179999999,128.6020969,대구광역시 중구 동산동
35,35,국채보상로131길60,아트타운 ,1,10,18,44,민간,임의,2003,　,35.8723722,128.6027493,대구광역시 중구 동인동1가
36,36,국채보상로143길74,동남맨션,1,5,30,154,민간,임의,1979,426-5307,35.8722285,128.6094446,대구광역시 중구 동인동1가
37,37,국채보상로143길74-15,협화동인빌라,1,9,18,82,민간,임의,1992,427-9612,35.87229680000001,128.6098283,대구광역시 중구 동인동3가
38,38,국채보상로149길50,동인시영,5,4,272,1360,도시 공사,자치,1969,427-9190,35.870622999999995,128.6118054,대구광역시 중구 동인동3가
39,39,국채보상로151길9,금호,1,5,36,103,민간,임의,1978,424-4766,35.869035499999995,128.61202240000003,대구광역시 중구 동인동3가
