위      치,아파트명,동수,층수,세대수,인구수,건축 연도,lat,lng,연식,노후정도점수,location,Gscore,Escore,degree,near_stat,fire_lat,fire_lng,distance(km),time(min)
 칠성남로36길11-16,양 지,1,5,20,97,1978,35.8753884,128.6003292,42,20,대구광역시 북구 칠성동2가,20,20,680,대구북부소방서,35.8779915,128.5923197,0.946,2
동대구로38길80,아진맨션,5,5,172,624,1981,35.8500116,128.6278845,39,20,대구광역시 수성구 범어동,20,20,680,수성119안전센터,35.8568077,128.6209186,1.4,5
달구벌대로492길12,우방 3차,3,5,145,511,1984,35.8576823,128.63124,36,20,대구광역시 수성구 범어동,20,20,680,수성119안전센터,35.8568077,128.6209186,1.5,4
달구벌대로496길88,을지맨션,3,12,213,840,1987,35.8508699,128.6350387,33,20,대구광역시 수성구 범어동,20,20,680,수성119안전센터,35.8568077,128.6209186,2.4,8
달구벌대로504길39,경 북,2,5,70,278,1980,35.8553416,128.6387456,40,20,대구광역시 수성구 범어동,20,20,680,만촌119안전센터,35.8553518,128.6521145,3.6,8
범어로27,경남타운,5,12,312,1131,1982,35.8517652,128.6358396,38,20,대구광역시 수성구 범어동,20,20,680,수성119안전센터,35.8568077,128.6209186,3.5,9
범어로45,가든 1차하 이 츠,4,10,220,858,1985,35.8532819,128.6353823,35,20,대구광역시 수성구 범어동,20,20,680,수성119안전센터,35.8568077,128.6209186,2.3,7
범어로46,명문빌라,6,3,75,302,1988,35.8534243,128.6362182,32,20,대구광역시 수성구 범어동,20,20,680,수성119안전센터,35.8568077,128.6209186,2.2,6
상록수로11길5,빌라맨션,1,10,100,357,1979,35.8506438,128.6523583,41,20,대구광역시 수성구 범어동,20,20,680,만촌119안전센터,35.8553518,128.6521145,1.4,4
율하동로101,신혼,4,3,102,413,1989,35.868789,128.7016273,31,20,대구광역시 동구 율하동,20,20,680,율하119안전센터,35.8649526,128.693409,0.899,3
동대구로230,우방 1차,4,5,276,984,1983,35.8510011,128.6260114,37,20,대구광역시 수성구 범어동,20,20,680,수성119안전센터,35.8568077,128.6209186,1.5,5
동대구로274,궁전맨션,5,15,538,1807,1988,35.85471,128.6263583,32,20,대구광역시 수성구 범어동,20,20,680,수성119안전센터,35.8568077,128.6209186,1,4
동대구로48길33,우방 2차,7,5,350,1279,1984,35.8507752,128.6278573,36,20,대구광역시 수성구 범어동,20,20,680,수성119안전센터,35.8568077,128.6209186,1.7,5
달구벌대로2494,장 미,1,5,30,110,1979,35.8585303,128.6355293,41,20,대구광역시 수성구 범어동,20,20,680,수성119안전센터,35.8568077,128.6209186,1.6,5
동대구로73길7,삼일맨션,2,5,65,189,1979,35.8627947,128.6258627,41,20,대구광역시 수성구 범어동,20,20,680,수성119안전센터,35.8568077,128.6209186,1.5,5
동대구로73길10-10,삼 일,1,5,27,82,1978,35.8636385,128.6261905,42,20,대구광역시 수성구 범어동,20,20,680,수성119안전센터,35.8568077,128.6209186,1.5,5
동대구로74안길6,목 화,4,5,110,330,1978,35.8644155,128.6292726,42,20,대구광역시 수성구 범어동,20,20,680,수성119안전센터,35.8568077,128.6209186,1.6,5
청호로92길15,범양맨션,1,5,40,171,1981,35.8559763,128.643269,39,20,대구광역시 수성구 범어동,20,20,680,만촌119안전센터,35.8553518,128.6521145,2.1,6
청솔로123,백장미 맨션,1,5,20,77,1979,35.8576551,128.6208799,41,20,대구광역시 수성구 수성동3가,20,20,680,수성119안전센터,35.8568077,128.6209186,0.138,1
청솔로131,삼성맨션,1,5,90,247,1981,35.8582009,128.6209694,39,20,대구광역시 수성구 수성동3가,20,20,680,수성119안전센터,35.8568077,128.6209186,0.242,1
청솔로126,크 로 바,3,5,120,393,1982,35.8714354,128.601445,38,20,대구광역시 수성구 범어동,20,20,680,삼덕 119안전센터,35.8656405,128.5978273,2.7,10
청호로370,장원맨션,4,13,455,1793,1988,35.8508578,128.6393606,32,20,대구광역시 수성구 범어동,20,20,680,만촌119안전센터,35.8553518,128.6521145,4.3,9
청호로433,범어목련,5,5,250,987,1987,35.8555472,128.6399031,33,20,대구광역시 수성구 범어동,20,20,680,만촌119안전센터,35.8553518,128.6521145,3.4,8
