,대지위치,사용량(KWh)
0,대구광역시 달성군 가창면,24197.857142857138
1,대구광역시 달성군 구지면,22756.354838709678
2,대구광역시 달성군 논공읍,8929.925925925925
3,대구광역시 달성군 다사읍,18623.60569105691
4,대구광역시 달성군 옥포읍,67888.19047619047
5,대구광역시 달성군 유가읍,63473.09615384616
6,대구광역시 달성군 현풍읍,23710.176470588238
7,대구광역시 달성군 화원읍,18394.50675675676
0,대구광역시 달성군 가창면,24197.857142857138
1,대구광역시 달성군 구지면,22756.354838709678
2,대구광역시 달성군 논공읍,8929.925925925925
3,대구광역시 달성군 다사읍,18623.60569105691
4,대구광역시 달성군 옥포읍,67888.19047619047
5,대구광역시 달성군 유가읍,63473.09615384616
6,대구광역시 달성군 현풍읍,23710.176470588238
7,대구광역시 달성군 화원읍,18394.50675675676
0,대구광역시 달서구 갈산동,1706.0
1,대구광역시 달서구 감삼동,6661.681818181818
2,대구광역시 달서구 대곡동,15458.23076923077
3,대구광역시 달서구 대천동,13816.136363636364
4,대구광역시 달서구 도원동,32446.33333333333
5,대구광역시 달서구 두류동,4046.4266666666663
6,대구광역시 달서구 본동,10626.439560439561
7,대구광역시 달서구 본리동,7367.762295081967
8,대구광역시 달서구 상인동,15593.453846153847
9,대구광역시 달서구 성당동,3744.94
10,대구광역시 달서구 송현동,3769.049315068493
11,대구광역시 달서구 신당동,68700.84722222223
12,대구광역시 달서구 용산동,19369.253731343284
13,대구광역시 달서구 월성동,22905.85526315789
14,대구광역시 달서구 월암동,23243.83333333333
15,대구광역시 달서구 유천동,91644.47058823529
16,대구광역시 달서구 이곡동,13729.910256410256
17,대구광역시 달서구 장기동,12108.283333333333
18,대구광역시 달서구 장동,716913.0
19,대구광역시 달서구 죽전동,5385.934579439252
20,대구광역시 달서구 진천동,10538.881656804731
21,대구광역시 달서구 파호동,16771.0
22,대구광역시 달서구 호림동,10340.780487804876
23,대구광역시 달서구 호산동,4347.169014084507
0,대구광역시 동구 각산동,35664.60976
1,대구광역시 동구 검사동,9106.103895999999
2,대구광역시 동구 괴전동,28559.533330000002
3,대구광역시 동구 대림동,1820.857143
4,대구광역시 동구 도동,2235.935484
5,대구광역시 동구 동내동,177873.3333
6,대구광역시 동구 동호동,24537.02041
7,대구광역시 동구 방촌동,10178.14368
8,대구광역시 동구 봉무동,68800.62857
9,대구광역시 동구 불로동,3529.3698630000004
10,대구광역시 동구 사복동,1323.0
11,대구광역시 동구 서호동,2428.522727
12,대구광역시 동구 숙천동,13795.666669999999
13,대구광역시 동구 신기동,12907.91837
14,대구광역시 동구 신서동,35430.57303
15,대구광역시 동구 신암동,10650.70345
16,대구광역시 동구 신천동,17956.09474
17,대구광역시 동구 신평동,7688.3
18,대구광역시 동구 용계동,9793.508772
19,대구광역시 동구 율암동,1884.4
20,대구광역시 동구 율하동,31371.49123
21,대구광역시 동구 입석동,2406.794118
22,대구광역시 동구 지묘동,43116.133330000004
23,대구광역시 동구 지저동,3280.222222
24,대구광역시 동구 효목동,8078.570175
0,대구광역시 중구 계산동1가,1093.333333
1,대구광역시 중구 계산동2가,45733.0
2,대구광역시 중구 공평동,5018.107143
3,대구광역시 중구 교동,9205.285714
4,대구광역시 중구 남산동,9052.871681
5,대구광역시 중구 남성로,1523.391304
6,대구광역시 중구 남일동,19562.6
7,대구광역시 중구 달성동,887.3333332999998
8,대구광역시 중구 대봉동,13479.86486
9,대구광역시 중구 대신동,12414.68182
10,대구광역시 중구 대안동,1895.3333329999998
11,대구광역시 중구 덕산동,36107.83333
12,대구광역시 중구 동문동,2300.8
13,대구광역시 중구 동산동,5225.041667
