순번,대지위치,시군구코드,법정동코드,대지구분코드,번,지,사용년월,도로명대지위치,새주소일련번호,새주소도로코드,새주소지상지하코드,새주소본번,새주소부번,사용량(KWh)
1,대구광역시 북구 칠성동1가 151-3번지,27230,10100,0,0151,0003,202008,대구광역시 북구 신암로 27,1,272303141014,0,27,0,14277
2,대구광역시 북구 칠성동1가 276-142번지,27230,10100,0,0276,0142,202008,대구광역시 북구 칠성남로 227,1,272303145040,0,227,0,26599
3,대구광역시 북구 칠성동2가 1-2번지,27230,10200,0,0001,0002,202008,대구광역시 북구 침산로21길 41,1,272304235418,0,41,0,33641
4,대구광역시 북구 칠성동2가 101-7번지,27230,10200,0,0101,0007,202008,대구광역시 북구 칠성로5길 7-1,1,272304235395,0,7,1,513
5,대구광역시 북구 칠성동2가 101-8번지,27230,10200,0,0101,0008,202008,대구광역시 북구 칠성로5길 7,1,272304235395,0,7,0,339
6,대구광역시 북구 칠성동2가 127번지,27230,10200,0,0127,0000,202008,대구광역시 북구 호암로 20,1,272303145054,0,20,0,161359
7,대구광역시 북구 칠성동2가 139-32번지,27230,10200,0,0139,0032,202008,대구광역시 북구 칠성로 25-7,1,272303145041,0,25,7,140
8,대구광역시 북구 칠성동2가 139-33번지,27230,10200,0,0139,0033,202008,대구광역시 북구 칠성로 25-5,1,272303145041,0,25,5,23
9,대구광역시 북구 칠성동2가 139-9번지,27230,10200,0,0139,0009,202008,대구광역시 북구 중앙대로105길 27,1,272304235325,0,27,0,899
10,대구광역시 북구 칠성동2가 140-2번지,27230,10200,0,0140,0002,202008,대구광역시 북구 중앙대로105길 25,1,272304235325,0,25,0,6794
11,대구광역시 북구 칠성동2가 140-5번지,27230,10200,0,0140,0005,202008,대구광역시 북구 칠성로 25-14,1,272303145041,0,25,14,280
12,대구광역시 북구 칠성동2가 142-13번지,27230,10200,0,0142,0013,202008,대구광역시 북구 칠성로 29,1,272303145041,0,29,0,8091
13,대구광역시 북구 칠성동2가 142-1번지,27230,10200,0,0142,0001,202008,대구광역시 북구 칠성로 39-1,1,272303145041,0,39,1,2066
14,대구광역시 북구 칠성동2가 161-5번지,27230,10200,0,0161,0005,202008,대구광역시 북구 칠성로 19,1,272303145041,0,19,0,23
15,대구광역시 북구 칠성동2가 168-13번지,27230,10200,0,0168,0013,202008,대구광역시 북구 칠성로 13,1,272303145041,0,13,0,7841
16,대구광역시 북구 칠성동2가 2-13번지,27230,10200,0,0002,0013,202008,대구광역시 북구 옥산로17길 14,1,272304235293,0,14,0,20758
17,대구광역시 북구 칠성동2가 2-16번지,27230,10200,0,0002,0016,202008,대구광역시 북구 옥산로 95-7,1,272303007021,0,95,7,12026
18,대구광역시 북구 칠성동2가 2-2번지,27230,10200,0,0002,0002,202008,대구광역시 북구 침산로21길 23,1,272304235418,0,23,0,195705
19,대구광역시 북구 칠성동2가 2-4번지,27230,10200,0,0002,0004,202008,대구광역시 북구 옥산로 111,1,272303007021,0,111,0,5089
20,대구광역시 북구 칠성동2가 2-5번지,27230,10200,0,0002,0005,202008,대구광역시 북구 옥산로 103,1,272303007021,0,103,0,119888
21,대구광역시 북구 칠성동2가 20-1번지,27230,10200,0,0020,0001,202008,대구광역시 북구 침산로 93,1,272303007023,0,93,0,1071110
22,대구광역시 북구 칠성동2가 302-102번지,27230,10200,0,0302,0102,202008,대구광역시 북구 칠성남로38길 9,1,272304235385,0,9,0,12
23,대구광역시 북구 칠성동2가 302-105번지,27230,10200,0,0302,0105,202008,대구광역시 북구 칠성남로 176,1,272303145040,0,176,0,27156
24,대구광역시 북구 칠성동2가 302-111번지,27230,10200,0,0302,0111,202008,대구광역시 북구 칠성남로30길 34,1,272304235380,0,34,0,17134
25,대구광역시 북구 칠성동2가 302-112번지,27230,10200,0,0302,0112,202008,대구광역시 북구 칠성남로30길 28,1,272304235380,0,28,0,9281
26,대구광역시 북구 칠성동2가 302-114번지,27230,10200,0,0302,0114,202008,대구광역시 북구 칠성남로36길 6,1,272304235383,0,6,0,37409
27,대구광역시 북구 칠성동2가 302-116번지,27230,10200,0,0302,0116,202008,대구광역시 북구 칠성남로30길 29,1,272304235380,0,29,0,117
28,대구광역시 북구 칠성동2가 302-126번지,27230,10200,0,0302,0126,202008,대구광역시 북구 중앙대로 495,1,272302007001,0,495,0,1949
29,대구광역시 북구 칠성동2가 302-155번지,27230,10200,0,0302,0155,202008,대구광역시 북구 태평로 161,1,272303141011,0,161,0,301361
30,대구광역시 북구 칠성동2가 302-205번지,27230,10200,0,0302,0205,202008,대구광역시 북구 칠성남로30길 30,1,272304235380,0,30,0,35
31,대구광역시 북구 칠성동2가 302-282번지,27230,10200,0,0302,0282,202008,대구광역시 북구 칠성남로26길 32,1,272304235375,0,32,0,1284
32,대구광역시 북구 칠성동2가 302-283번지,27230,10200,0,0302,0283,202008,대구광역시 북구 칠성남로26길 30-1,1,272304235375,0,30,1,3397
33,대구광역시 북구 칠성동2가 302-296번지,27230,10200,0,0302,0296,202008,대구광역시 북구 칠성남로38길 26,1,272304235385,0,26,0,795
34,대구광역시 북구 칠성동2가 302-323번지,27230,10200,0,0302,0323,202008,대구광역시 북구 칠성남로36길 11-6,1,272304235383,0,11,6,572
35,대구광역시 북구 칠성동2가 302-327번지,27230,10200,0,0302,0327,202008,대구광역시 북구 칠성남로30길 45,1,272304235380,0,45,0,117
36,대구광역시 북구 칠성동2가 302-329번지,27230,10200,0,0302,0329,202008,대구광역시 북구 칠성남로30길 47-1,1,272304235380,0,47,1,525
37,대구광역시 북구 칠성동2가 302-330번지,27230,10200,0,0302,0330,202008,대구광역시 북구 칠성남로30길 49,1,272304235380,0,49,0,151
38,대구광역시 북구 칠성동2가 302-336번지,27230,10200,0,0302,0336,202008,대구광역시 북구 칠성남로36길 11-5,1,272304235383,0,11,5,198
39,대구광역시 북구 칠성동2가 302-345번지,27230,10200,0,0302,0345,202008,대구광역시 북구 칠성남로38길 30,1,272304235385,0,30,0,992
40,대구광역시 북구 칠성동2가 348-16번지,27230,10200,0,0348,0016,202008,대구광역시 북구 칠성로 41-1,1,272303145041,0,41,1,1156
41,대구광역시 북구 칠성동2가 348-25번지,27230,10200,0,0348,0025,202008,대구광역시 북구 칠성로 45-1,1,272303145041,0,45,1,292
42,대구광역시 북구 칠성동2가 350-11번지,27230,10200,0,0350,0011,202008,대구광역시 북구 칠성로 63-1,1,272303145041,0,63,1,117
43,대구광역시 북구 칠성동2가 355-18번지,27230,10200,0,0355,0018,202008,대구광역시 북구 중앙대로105길 19,1,272304235325,0,19,0,5300
44,대구광역시 북구 칠성동2가 378-21번지,27230,10200,0,0378,0021,202008,대구광역시 북구 중앙대로 543,1,272302007001,0,543,0,23366
45,대구광역시 북구 칠성동2가 378-29번지,27230,10200,0,0378,0029,202008,대구광역시 북구 호암로 28-3,1,272303145054,0,28,3,14589
46,대구광역시 북구 칠성동2가 382-21번지,27230,10200,0,0382,0021,202008,대구광역시 북구 중앙대로 542,1,272302007001,0,542,0,316
47,대구광역시 북구 칠성동2가 395-1번지,27230,10200,0,0395,0001,202008,대구광역시 북구 칠성시장로23길 55,1,272304235400,0,55,0,10425
48,대구광역시 북구 칠성동2가 400-86번지,27230,10200,0,0400,0086,202008,대구광역시 북구 칠성시장로23길 23,1,272304235400,0,23,0,6491
49,대구광역시 북구 칠성동2가 401-17번지,27230,10200,0,0401,0017,202008,대구광역시 북구 칠성시장로 87-8,1,272303145042,0,87,8,198
50,대구광역시 북구 칠성동2가 401-18번지,27230,10200,0,0401,0018,202008,대구광역시 북구 칠성시장로 87-14,1,272303145042,0,87,14,117
51,대구광역시 북구 칠성동2가 403-9번지,27230,10200,0,0403,0009,202008,대구광역시 북구 칠성시장로 87-3,1,272303145042,0,87,3,210
