순번,대지위치,시군구코드,법정동코드,대지구분코드,번,지,사용년월,도로명대지위치,새주소일련번호,새주소도로코드,새주소지상지하코드,새주소본번,새주소부번,사용량(KWh)
1,대구광역시 달서구 성당동 114-2번지,27290,10100,0,114,2,202008,대구광역시 달서구 성당로 161,1,2.72903E+11,0,161,0,5184
2,대구광역시 달서구 성당동 118-11번지,27290,10100,0,118,11,202008,대구광역시 달서구 두류공원로 128,1,2.72903E+11,0,128,0,222
3,대구광역시 달서구 성당동 118-6번지,27290,10100,0,118,6,202008,대구광역시 달서구 성당로 137,1,2.72903E+11,0,137,0,117
4,대구광역시 달서구 성당동 126-17번지,27290,10100,0,126,17,202008,대구광역시 달서구 성당로21길 58,1,2.72904E+11,0,58,0,1307
5,대구광역시 달서구 성당동 126-1번지,27290,10100,0,126,1,202008,대구광역시 달서구 성당로21길 66,1,2.72904E+11,0,66,0,198
6,대구광역시 달서구 성당동 126-22번지,27290,10100,0,126,22,202008,대구광역시 달서구 성당로 131,1,2.72903E+11,0,131,0,140
7,대구광역시 달서구 성당동 126-35번지,27290,10100,0,126,35,202008,대구광역시 달서구 두류공원로 133,1,2.72903E+11,0,133,0,152
8,대구광역시 달서구 성당동 127-4번지,27290,10100,0,127,4,202008,대구광역시 달서구 성당로 127,1,2.72903E+11,0,127,0,3421
9,대구광역시 달서구 성당동 128-3번지,27290,10100,0,128,3,202008,대구광역시 달서구 성당로21길 40,1,2.72904E+11,0,40,0,466
10,대구광역시 달서구 성당동 169-13번지,27290,10100,0,169,13,202008,대구광역시 달서구 공원순환로 237,1,2.72903E+11,0,237,0,39453
11,대구광역시 달서구 성당동 187번지,27290,10100,0,187,0,202008,대구광역시 달서구 공원순환로 201,1,2.72903E+11,0,201,0,5769
12,대구광역시 달서구 성당동 202-41번지,27290,10100,0,202,41,202008,대구광역시 달서구 대명천로 28,1,2.72903E+11,0,28,0,817
13,대구광역시 달서구 성당동 202-51번지,27290,10100,0,202,51,202008,대구광역시 달서구 대명천로12안길 47,1,2.72904E+11,0,47,0,444
14,대구광역시 달서구 성당동 202-8번지,27290,10100,0,202,8,202008,대구광역시 달서구 대명천로6길 10,1,2.72904E+11,0,10,0,2149
15,대구광역시 달서구 성당동 207-6번지,27290,10100,0,207,6,202008,대구광역시 달서구 대명천로6길 14,1,2.72904E+11,0,14,0,269
16,대구광역시 달서구 성당동 211-1번지,27290,10100,0,211,1,202008,대구광역시 달서구 성당로 23,1,2.72903E+11,0,23,0,491
17,대구광역시 달서구 성당동 211-3번지,27290,10100,0,211,3,202008,대구광역시 달서구 성당로 21,1,2.72903E+11,0,21,0,128
18,대구광역시 달서구 성당동 214-1번지,27290,10100,0,214,1,202008,대구광역시 달서구 대명천로 15,1,2.72903E+11,0,15,0,44171
19,대구광역시 달서구 성당동 219-1번지,27290,10100,0,219,1,202008,대구광역시 달서구 대명천로11길 67,1,2.72904E+11,0,67,0,19369
20,대구광역시 달서구 성당동 219-6번지,27290,10100,0,219,6,202008,대구광역시 달서구 구마로53길 12,1,2.72904E+11,0,12,0,47
21,대구광역시 달서구 성당동 220-12번지,27290,10100,0,220,12,202008,대구광역시 달서구 성당로 7,1,2.72903E+11,0,7,0,10024
22,대구광역시 달서구 성당동 220-1번지,27290,10100,0,220,1,202008,대구광역시 달서구 성당로 9,1,2.72903E+11,0,9,0,35
23,대구광역시 달서구 성당동 220-21번지,27290,10100,0,220,21,202008,대구광역시 달서구 구마로53길 16,1,2.72904E+11,0,16,0,397
24,대구광역시 달서구 성당동 220-5번지,27290,10100,0,220,5,202008,대구광역시 달서구 구마로53길 8,1,2.72904E+11,0,8,0,9258
25,대구광역시 달서구 성당동 223-5번지,27290,10100,0,223,5,202008,대구광역시 달서구 구마로53길 24,1,2.72904E+11,0,24,0,269
26,대구광역시 달서구 성당동 229-5번지,27290,10100,0,229,5,202008,대구광역시 달서구 대명천로11길 63,1,2.72904E+11,0,63,0,11112
27,대구광역시 달서구 성당동 265-4번지,27290,10100,0,265,4,202008,대구광역시 달서구 대명천로11길 13,1,2.72904E+11,0,13,0,234
28,대구광역시 달서구 성당동 267번지,27290,10100,0,267,0,202008,대구광역시 달서구 대명천로11길 40,1,2.72904E+11,0,40,0,7403
29,대구광역시 달서구 성당동 269-1번지,27290,10100,0,269,1,202008,대구광역시 달서구 대명천로11길 37,1,2.72904E+11,0,37,0,9451
30,대구광역시 달서구 성당동 277-13번지,27290,10100,0,277,13,202008,대구광역시 달서구 대명천로 60,1,2.72903E+11,0,60,0,257
31,대구광역시 달서구 성당동 277-18번지,27290,10100,0,277,18,202008,대구광역시 달서구 대명천로 58,1,2.72903E+11,0,58,0,2546
32,대구광역시 달서구 성당동 277-23번지,27290,10100,0,277,23,202008,대구광역시 달서구 대명천로 56-1,1,2.72903E+11,0,56,1,304
33,대구광역시 달서구 성당동 277-26번지,27290,10100,0,277,26,202008,대구광역시 달서구 대명천로 56,1,2.72903E+11,0,56,0,222
34,대구광역시 달서구 성당동 286번지,27290,10100,0,286,0,202008,대구광역시 달서구 대명천로8길 10,1,2.72904E+11,0,10,0,2673
35,대구광역시 달서구 성당동 300-1번지,27290,10100,0,300,1,202008,대구광역시 달서구 대명천로 36,1,2.72903E+11,0,36,0,631
36,대구광역시 달서구 성당동 302번지,27290,10100,0,302,0,202008,,1,,,,,758
37,대구광역시 달서구 성당동 305번지,27290,10100,0,305,0,202008,대구광역시 달서구 대명천로 38-6,1,2.72903E+11,0,38,6,117
38,대구광역시 달서구 성당동 306번지,27290,10100,0,306,0,202008,대구광역시 달서구 대명천로 38-1,1,2.72903E+11,0,38,1,128
39,대구광역시 달서구 성당동 308번지,27290,10100,0,308,0,202008,대구광역시 달서구 대명천로 42,1,2.72903E+11,0,42,0,864
40,대구광역시 달서구 성당동 318번지,27290,10100,0,318,0,202008,대구광역시 달서구 대명천로 38-9,1,2.72903E+11,0,38,9,70
41,대구광역시 달서구 성당동 321-1번지,27290,10100,0,321,1,202008,대구광역시 달서구 대명천로 38-15,1,2.72903E+11,0,38,15,363
42,대구광역시 달서구 성당동 321번지,27290,10100,0,321,0,202008,대구광역시 달서구 대명천로 38-17,1,2.72903E+11,0,38,17,619
43,대구광역시 달서구 성당동 330번지,27290,10100,0,330,0,202008,대구광역시 달서구 대명천로10길 19,1,2.72904E+11,0,19,0,479
44,대구광역시 달서구 성당동 332-3번지,27290,10100,0,332,3,202008,대구광역시 달서구 대명천로10길 15,1,2.72904E+11,0,15,0,432
