순번,대지위치,시군구코드,법정동코드,대지구분코드,번,지,사용년월,도로명대지위치,새주소일련번호,새주소도로코드,새주소지상지하코드,새주소본번,새주소부번,사용량(KWh)
1,대구광역시 달성군 화원읍 천내리 102-8번지,27710,25021,0,102,8,202008,대구광역시 달성군 성천로24길 12-10,1,2.77104E+11,0,12,10,711
2,대구광역시 달성군 화원읍 천내리 103-2번지,27710,25021,0,103,2,202008,대구광역시 달성군 화원로7길 90,1,2.77104E+11,0,90,0,1623
3,대구광역시 달성군 화원읍 천내리 106번지,27710,25021,0,106,0,202008,대구광역시 달성군 성천로24길 1-2,1,2.77104E+11,0,1,2,23
4,대구광역시 달성군 화원읍 천내리 108-4번지,27710,25021,0,108,4,202008,대구광역시 달성군 성천로 134,1,2.77103E+11,0,134,0,257
5,대구광역시 달성군 화원읍 천내리 109-9번지,27710,25021,0,109,9,202008,대구광역시 달성군 화원로7길 58-3,1,2.77104E+11,0,58,3,759
6,대구광역시 달성군 화원읍 천내리 118번지,27710,25021,0,118,0,202008,대구광역시 달성군 화원로 36,1,2.77103E+11,0,36,0,62780
7,대구광역시 달성군 화원읍 천내리 122-1번지,27710,25021,0,122,1,202008,대구광역시 달성군 비슬로525길 37,1,2.77104E+11,0,37,0,41619
8,대구광역시 달성군 화원읍 천내리 122번지,27710,25021,0,122,0,202008,대구광역시 달성군 화원로 26,1,2.77103E+11,0,26,0,48840
9,대구광역시 달성군 화원읍 천내리 124-1번지,27710,25021,0,124,1,202008,대구광역시 달성군 화원로7길 1,1,2.77104E+11,0,1,0,4728
10,대구광역시 달성군 화원읍 천내리 124번지,27710,25021,0,124,0,202008,대구광역시 달성군 화원로7길 7-3,1,2.77104E+11,0,7,3,11137
11,대구광역시 달성군 화원읍 천내리 128-5번지,27710,25021,0,128,5,202008,대구광역시 달성군 화원로 23-1,1,2.77103E+11,0,23,1,759
12,대구광역시 달성군 화원읍 천내리 128-6번지,27710,25021,0,128,6,202008,대구광역시 달성군 화원로 23,1,2.77103E+11,0,23,0,362
13,대구광역시 달성군 화원읍 천내리 128-7번지,27710,25021,0,128,7,202008,대구광역시 달성군 화원로 21,1,2.77103E+11,0,21,0,233
14,대구광역시 달성군 화원읍 천내리 138-1번지,27710,25021,0,138,1,202008,대구광역시 달성군 화원로3길 66,1,2.77104E+11,0,66,0,88189
15,대구광역시 달성군 화원읍 천내리 154-1번지,27710,25021,0,154,1,202008,대구광역시 달성군 비슬로 2571,1,2.77103E+11,0,2571,0,362
16,대구광역시 달성군 화원읍 천내리 187-6번지,27710,25021,0,187,6,202008,대구광역시 달성군 성천로30길 50,1,2.77104E+11,0,50,0,175
17,대구광역시 달성군 화원읍 천내리 188-3번지,27710,25021,0,188,3,202008,대구광역시 달성군 화원로7길 51,1,2.77104E+11,0,51,0,338
18,대구광역시 달성군 화원읍 천내리 188-4번지,27710,25021,0,188,4,202008,대구광역시 달성군 화원로7길 55,1,2.77104E+11,0,55,0,1296
19,대구광역시 달성군 화원읍 천내리 188번지,27710,25021,0,188,0,202008,대구광역시 달성군 화원로7길 47,1,2.77104E+11,0,47,0,175
20,대구광역시 달성군 화원읍 천내리 22번지,27710,25021,0,22,0,202008,대구광역시 달성군 화원로1길 60-18,1,2.77104E+11,0,60,18,117
21,대구광역시 달성군 화원읍 천내리 233-3번지,27710,25021,0,233,3,202008,대구광역시 달성군 화원로7길 83,1,2.77104E+11,0,83,0,1541
22,대구광역시 달성군 화원읍 천내리 233-7번지,27710,25021,0,233,7,202008,대구광역시 달성군 화원로7길 69,1,2.77104E+11,0,69,0,94
23,대구광역시 달성군 화원읍 천내리 256-6번지,27710,25021,0,256,6,202008,대구광역시 달성군 비슬로 2555,1,2.77103E+11,0,2555,0,292
24,대구광역시 달성군 화원읍 천내리 258-2번지,27710,25021,0,258,2,202008,대구광역시 달성군 비슬로 2553,1,2.77103E+11,0,2553,0,350
25,대구광역시 달성군 화원읍 천내리 26-5번지,27710,25021,0,26,5,202008,대구광역시 달성군 화원로1길 40,1,2.77104E+11,0,40,0,1309
