순번,대지위치,시군구코드,법정동코드,대지구분코드,번,지,사용년월,도로명대지위치,새주소일련번호,새주소도로코드,새주소지상지하코드,새주소본번,새주소부번,사용량(KWh)
1,대구광역시 동구 신암동 104-3번지,27140,10100,0,0104,0003,202008,대구광역시 동구 아양로37길 14,1,271404226217,0,14,0,117
2,대구광역시 동구 신암동 105-4번지,27140,10100,0,0105,0004,202008,대구광역시 동구 아양로37길 6,1,271404226217,0,6,0,2966
3,대구광역시 동구 신암동 105-8번지,27140,10100,0,0105,0008,202008,대구광역시 동구 아양로37길 20,1,271404226217,0,20,0,257
4,대구광역시 동구 신암동 105-9번지,27140,10100,0,0105,0009,202008,대구광역시 동구 아양로37길 10,1,271404226217,0,10,0,5068
5,대구광역시 동구 신암동 106-12번지,27140,10100,0,0106,0012,202008,대구광역시 동구 아양로35길 6,1,271404226216,0,6,0,6584
6,대구광역시 동구 신암동 106-14번지,27140,10100,0,0106,0014,202008,대구광역시 동구 아양로35길 14,1,271404226216,0,14,0,140
7,대구광역시 동구 신암동 106-16번지,27140,10100,0,0106,0016,202008,대구광역시 동구 아양로35길 10,1,271404226216,0,10,0,81
8,대구광역시 동구 신암동 106-4번지,27140,10100,0,0106,0004,202008,,1,,,,,1915
9,대구광역시 동구 신암동 106-55번지,27140,10100,0,0106,0055,202008,대구광역시 동구 아양로37길 15,1,271404226217,0,15,0,3935
10,대구광역시 동구 신암동 107-1번지,27140,10100,0,0107,0001,202008,대구광역시 동구 아양로37길 7,1,271404226217,0,7,0,3176
11,대구광역시 동구 신암동 115-1번지,27140,10100,0,0115,0001,202008,대구광역시 동구 아양로 175,1,271403142028,0,175,0,1564
12,대구광역시 동구 신암동 118-14번지,27140,10100,0,0118,0014,202008,대구광역시 동구 동북로81길 6,1,271404226081,0,6,0,689
13,대구광역시 동구 신암동 118-8번지,27140,10100,0,0118,0008,202008,대구광역시 동구 동북로 407,1,271403007005,0,407,0,910
14,대구광역시 동구 신암동 1186-40번지,27140,10100,0,1186,0040,202008,대구광역시 동구 신암로 108-1,1,271403141014,0,108,1,3246
15,대구광역시 동구 신암동 1190-22번지,27140,10100,0,1190,0022,202008,대구광역시 동구 신암로20길 11-4,1,271404226198,0,11,4,1168
16,대구광역시 동구 신암동 1192-22번지,27140,10100,0,1192,0022,202008,대구광역시 동구 신암로 100,1,271403141014,0,100,0,1261
17,대구광역시 동구 신암동 1195-4번지,27140,10100,0,1195,0004,202008,대구광역시 동구 신암로 84-1,1,271403141014,0,84,1,245
18,대구광역시 동구 신암동 1196-30번지,27140,10100,0,1196,0030,202008,대구광역시 동구 신암로 94-1,1,271403141014,0,94,1,58
19,대구광역시 동구 신암동 1196-4번지,27140,10100,0,1196,0004,202008,대구광역시 동구 신암로 90,1,271403141014,0,90,0,490
20,대구광역시 동구 신암동 1196-57번지,27140,10100,0,1196,0057,202008,대구광역시 동구 신암로 86-1,1,271403141014,0,86,1,70
21,대구광역시 동구 신암동 123-13번지,27140,10100,0,0123,0013,202008,대구광역시 동구 동북로 394-1,1,271403007005,0,394,1,327
22,대구광역시 동구 신암동 123-27번지,27140,10100,0,0123,0027,202008,대구광역시 동구 동북로 394-15,1,271403007005,0,394,15,105
23,대구광역시 동구 신암동 127-11번지,27140,10100,0,0127,0011,202008,대구광역시 동구 동북로81길 16,1,271404226081,0,16,0,233
24,대구광역시 동구 신암동 128-23번지,27140,10100,0,0128,0023,202008,대구광역시 동구 동북로81길 8,1,271404226081,0,8,0,163
25,대구광역시 동구 신암동 128-7번지,27140,10100,0,0128,0007,202008,대구광역시 동구 동북로83길 27,1,271404226082,0,27,0,385
26,대구광역시 동구 신암동 1285-2번지,27140,10100,0,1285,0002,202008,대구광역시 동구 신암로 84,1,271403141014,0,84,0,4273
27,대구광역시 동구 신암동 1286-11번지,27140,10100,0,1286,0011,202008,,1,,,,,5150
28,대구광역시 동구 신암동 1286-3번지,27140,10100,0,1286,0003,202008,대구광역시 동구 신암로 82,1,271403141014,0,82,0,666
29,대구광역시 동구 신암동 1289-20번지,27140,10100,0,1289,0020,202008,대구광역시 동구 신암로14길 3,1,271404226195,0,3,0,2779
30,대구광역시 동구 신암동 1289-23번지,27140,10100,0,1289,0023,202008,대구광역시 동구 신암로 74,1,271403141014,0,74,0,128
31,대구광역시 동구 신암동 1289-7번지,27140,10100,0,1289,0007,202008,대구광역시 동구 신암로14길 3-1,1,271404226195,0,3,1,70
32,대구광역시 동구 신암동 129-130번지,27140,10100,0,0129,0130,202008,대구광역시 동구 동북로81길 38,1,271404226081,0,38,0,47
33,대구광역시 동구 신암동 129-140번지,27140,10100,0,0129,0140,202008,대구광역시 동구 동북로81길 31,1,271404226081,0,31,0,327
34,대구광역시 동구 신암동 129-157번지,27140,10100,0,0129,0157,202008,대구광역시 동구 동북로81길 35,1,271404226081,0,35,0,59
35,대구광역시 동구 신암동 1292-5번지,27140,10100,0,1292,0005,202008,대구광역시 동구 신암로 72,1,271403141014,0,72,0,1845
