순번,대지위치,시군구코드,법정동코드,대지구분코드,번,지,사용년월,도로명대지위치,새주소일련번호,새주소도로코드,새주소지상지하코드,새주소본번,새주소부번,사용량(KWh)
1,대구광역시 중구 동인동1가 11-1번지,27110,10100,0,0011,0001,202008,대구광역시 중구 공평로20길 5-10,1,271104223006,0,5,10,747
2,대구광역시 중구 동인동1가 226-13번지,27110,10100,0,0226,0013,202008,대구광역시 중구 국채보상로131길 46,1,271104223019,0,46,0,1448
3,대구광역시 중구 동인동1가 232번지,27110,10100,0,0232,0000,202008,대구광역시 중구 공평로20길 34,1,271104223006,0,34,0,58
4,대구광역시 중구 동인동1가 233-3번지,27110,10100,0,0233,0003,202008,대구광역시 중구 국채보상로131길 36,1,271104223019,0,36,0,2153
5,대구광역시 중구 동인동1가 234-4번지,27110,10100,0,0234,0004,202008,대구광역시 중구 국채보상로131길 34,1,271104223019,0,34,0,2148
6,대구광역시 중구 동인동1가 24-1번지,27110,10100,0,0024,0001,202008,대구광역시 중구 공평로 94,1,271103007017,0,94,0,3065
7,대구광역시 중구 동인동1가 257-1번지,27110,10100,0,0257,0001,202008,대구광역시 중구 공평로20길 47,1,271104223006,0,47,0,12
8,대구광역시 중구 동인동1가 275-1번지,27110,10100,0,0275,0001,202008,대구광역시 중구 동덕로 197,1,271103141005,0,197,0,3900
9,대구광역시 중구 동인동1가 277-3번지,27110,10100,0,0277,0003,202008,대구광역시 중구 동덕로 191,1,271103141005,0,191,0,5336
10,대구광역시 중구 동인동1가 292-1번지,27110,10100,0,0292,0001,202008,대구광역시 중구 동덕로 182,1,271103141005,0,182,0,2008
11,대구광역시 중구 동인동1가 293-3번지,27110,10100,0,0293,0003,202008,대구광역시 중구 동덕로 184,1,271103141005,0,184,0,374
12,대구광역시 중구 동인동1가 297-1번지,27110,10100,0,0297,0001,202008,대구광역시 중구 동덕로36길 9-17,1,271104223077,0,9,17,10765
13,대구광역시 중구 동인동1가 298-3번지,27110,10100,0,0298,0003,202008,대구광역시 중구 동덕로36길 9-13,1,271104223077,0,9,13,3631
14,대구광역시 중구 동인동1가 298-9번지,27110,10100,0,0298,0009,202008,대구광역시 중구 동덕로36길 9-9,1,271104223077,0,9,9,817
15,대구광역시 중구 동인동1가 301-1번지,27110,10100,0,0301,0001,202008,대구광역시 중구 동덕로36길 9-3,1,271104223077,0,9,3,1459
16,대구광역시 중구 동인동1가 303-1번지,27110,10100,0,0303,0001,202008,대구광역시 중구 동덕로36길 15,1,271104223077,0,15,0,1985
17,대구광역시 중구 동인동1가 306-1번지,27110,10100,0,0306,0001,202008,대구광역시 중구 국채보상로139길 25,1,271104223020,0,25,0,2627
18,대구광역시 중구 동인동1가 307-1번지,27110,10100,0,0307,0001,202008,대구광역시 중구 국채보상로139길 29,1,271104223020,0,29,0,46
19,대구광역시 중구 동인동1가 322-2번지,27110,10100,0,0322,0002,202008,대구광역시 중구 동덕로36길 9-12,1,271104223077,0,9,12,2511
20,대구광역시 중구 동인동1가 33-1번지,27110,10100,0,0033,0001,202008,대구광역시 중구 국채보상로131길 55,1,271104223019,0,55,0,39420
21,대구광역시 중구 동인동1가 331-2번지,27110,10100,0,0331,0002,202008,대구광역시 중구 동덕로38길 14,1,271104223078,0,14,0,339
22,대구광역시 중구 동인동1가 332-3번지,27110,10100,0,0332,0003,202008,대구광역시 중구 동덕로36길 9-18,1,271104223077,0,9,18,9972
23,대구광역시 중구 동인동1가 334-1번지,27110,10100,0,0334,0001,202008,대구광역시 중구 동덕로38길 15,1,271104223078,0,15,0,900
24,대구광역시 중구 동인동1가 336-2번지,27110,10100,0,0336,0002,202008,대구광역시 중구 동덕로38길 21,1,271104223078,0,21,0,2732
25,대구광역시 중구 동인동1가 341-9번지,27110,10100,0,0341,0009,202008,대구광역시 중구 동덕로40길 6,1,271104223079,0,6,0,350
26,대구광역시 중구 동인동1가 342번지,27110,10100,0,0342,0000,202008,대구광역시 중구 동덕로40길 4,1,271104223079,0,4,0,490
27,대구광역시 중구 동인동1가 348-2번지,27110,10100,0,0348,0002,202008,대구광역시 중구 동덕로 198-36,1,271103141005,0,198,36,117
28,대구광역시 중구 동인동1가 351-11번지,27110,10100,0,0351,0011,202008,대구광역시 중구 태평로 256-15,1,271103141011,0,256,15,7017
29,대구광역시 중구 동인동1가 358-2번지,27110,10100,0,0358,0002,202008,대구광역시 중구 동덕로 194,1,271103141005,0,194,0,28194
30,대구광역시 중구 동인동1가 376-2번지,27110,10100,0,0376,0002,202008,대구광역시 중구 태평로 255-2,1,271103141011,0,255,2,163
31,대구광역시 중구 동인동1가 9-7번지,27110,10100,0,0009,0007,202008,대구광역시 중구 공평로20길 15,1,271104223006,0,15,0,1145
32,대구광역시 중구 동인동1가 9-9번지,27110,10100,0,0009,0009,202008,대구광역시 중구 공평로20길 13,1,271104223006,0,13,0,2721
33,대구광역시 중구 동인동1가 9번지,27110,10100,0,0009,0000,202008,대구광역시 중구 국채보상로131길 45,1,271104223019,0,45,0,374
34,대구광역시 중구 동인동2가 101번지,27110,10200,0,0101,0000,202008,대구광역시 중구 국채보상로 680,1,271103007001,0,680,0,321777
35,대구광역시 중구 동인동2가 102-1번지,27110,10200,0,0102,0001,202008,,1,,,,,642
36,대구광역시 중구 동인동2가 114번지,27110,10200,0,0114,0000,202008,대구광역시 중구 동덕로36길 8,1,271104223077,0,8,0,6153
37,대구광역시 중구 동인동2가 11번지,27110,10200,0,0011,0000,202008,대구광역시 중구 국채보상로 645,1,271103007001,0,645,0,120280
38,대구광역시 중구 동인동2가 188-1번지,27110,10200,0,0188,0001,202008,대구광역시 중구 동덕로36길 28,1,271104223077,0,28,0,5822
39,대구광역시 중구 동인동2가 221-2번지,27110,10200,0,0221,0002,202008,대구광역시 중구 국채보상로140길 8,1,271104223021,0,8,0,514
40,대구광역시 중구 동인동2가 221번지,27110,10200,0,0221,0000,202008,대구광역시 중구 국채보상로 694,1,271103007001,0,694,0,736
41,대구광역시 중구 동인동2가 222번지,27110,10200,0,0222,0000,202008,대구광역시 중구 국채보상로 692,1,271103007001,0,692,0,2722
42,대구광역시 중구 동인동2가 223번지,27110,10200,0,0223,0000,202008,대구광역시 중구 국채보상로 690,1,271103007001,0,690,0,3135
43,대구광역시 중구 동인동2가 226-1번지,27110,10200,0,0226,0001,202008,대구광역시 중구 국채보상로 688-11,1,271103007001,0,688,11,233
44,대구광역시 중구 동인동2가 227-14번지,27110,10200,0,0227,0014,202008,대구광역시 중구 국채보상로140길 10-5,1,271104223021,0,10,5,2955
45,대구광역시 중구 동인동2가 227-15번지,27110,10200,0,0227,0015,202008,대구광역시 중구 국채보상로140길 16-6,1,271104223021,0,16,6,560
46,대구광역시 중구 동인동2가 236-1번지,27110,10200,0,0236,0001,202008,대구광역시 중구 국채보상로140길 18,1,271104223021,0,18,0,-386
47,대구광역시 중구 동인동2가 236-2번지,27110,10200,0,0236,0002,202008,대구광역시 중구 국채보상로140길 20,1,271104223021,0,20,0,444
48,대구광역시 중구 동인동2가 239번지,27110,10200,0,0239,0000,202008,대구광역시 중구 국채보상로140길 26,1,271104223021,0,26,0,5068
49,대구광역시 중구 동인동2가 244-2번지,27110,10200,0,0244,0002,202008,대구광역시 중구 국채보상로140길 34,1,271104223021,0,34,0,1332
50,대구광역시 중구 동인동2가 248번지,27110,10200,0,0248,0000,202008,대구광역시 중구 국채보상로140길 40,1,271104223021,0,40,0,573
51,대구광역시 중구 동인동2가 25-4번지,27110,10200,0,0025,0004,202008,대구광역시 중구 공평로 60,1,271103007017,0,60,0,51157
52,대구광역시 중구 동인동2가 42번지,27110,10200,0,0042,0000,202008,대구광역시 중구 국채보상로 670,1,271103007001,0,670,0,61381
53,대구광역시 중구 동인동2가 50-5번지,27110,10200,0,0050,0005,202008,대구광역시 중구 국채보상로 648,1,271103007001,0,648,0,529096
54,대구광역시 중구 동인동2가 51번지,27110,10200,0,0051,0000,202008,대구광역시 중구 국채보상로 655,1,271103007001,0,655,0,77066
55,대구광역시 중구 동인동2가 52-12번지,27110,10200,0,0052,0012,202008,대구광역시 중구 국채보상로 657-3,1,271103007001,0,657,3,1729
56,대구광역시 중구 동인동2가 52-2번지,27110,10200,0,0052,0002,202008,대구광역시 중구 국채보상로 657-12,1,271103007001,0,657,12,5627
57,대구광역시 중구 동인동2가 61-10번지,27110,10200,0,0061,0010,202008,대구광역시 중구 경상감영길 298-5,1,271104223003,0,298,5,163
58,대구광역시 중구 동인동2가 61-17번지,27110,10200,0,0061,0017,202008,대구광역시 중구 경상감영길 298-48,1,271104223003,0,298,48,7123
59,대구광역시 중구 동인동2가 61-19번지,27110,10200,0,0061,0019,202008,대구광역시 중구 경상감영길 286-49,1,271104223003,0,286,49,350
60,대구광역시 중구 동인동2가 61-7번지,27110,10200,0,0061,0007,202008,대구광역시 중구 경상감영길 286-21,1,271104223003,0,286,21,1260
61,대구광역시 중구 동인동2가 62-5번지,27110,10200,0,0062,0005,202008,대구광역시 중구 경상감영길 294,1,271104223003,0,294,0,93
62,대구광역시 중구 동인동2가 69-2번지,27110,10200,0,0069,0002,202008,대구광역시 중구 동덕로 173,1,271103141005,0,173,0,35
63,대구광역시 중구 동인동2가 74-15번지,27110,10200,0,0074,0015,202008,대구광역시 중구 동덕로 167,1,271103141005,0,167,0,289507
64,대구광역시 중구 동인동3가 204-1번지,27110,10300,0,0204,0001,202008,대구광역시 중구 동덕로38길 114,1,271104223078,0,114,0,350
65,대구광역시 중구 동인동3가 206-2번지,27110,10300,0,0206,0002,202008,대구광역시 중구 국채보상로149길 43,1,271104223024,0,43,0,339
66,대구광역시 중구 동인동3가 209-3번지,27110,10300,0,0209,0003,202008,대구광역시 중구 국채보상로149길 29,1,271104223024,0,29,0,385
67,대구광역시 중구 동인동3가 209-5번지,27110,10300,0,0209,0005,202008,대구광역시 중구 국채보상로149길 25,1,271104223024,0,25,0,268
68,대구광역시 중구 동인동3가 211-2번지,27110,10300,0,0211,0002,202008,대구광역시 중구 동덕로36길 127,1,271104223077,0,127,0,187
69,대구광역시 중구 동인동3가 215-3번지,27110,10300,0,0215,0003,202008,대구광역시 중구 국채보상로149길 26-10,1,271104223024,0,26,10,140
70,대구광역시 중구 동인동3가 228번지,27110,10300,0,0228,0000,202008,대구광역시 중구 국채보상로149길 50,1,271104223024,0,50,0,70
71,대구광역시 중구 동인동3가 238-2번지,27110,10300,0,0238,0002,202008,대구광역시 중구 동덕로38길 97,1,271104223078,0,97,0,491
72,대구광역시 중구 동인동3가 242-8번지,27110,10300,0,0242,0008,202008,대구광역시 중구 동덕로38길 87,1,271104223078,0,87,0,456
73,대구광역시 중구 동인동3가 246-4번지,27110,10300,0,0246,0004,202008,대구광역시 중구 동덕로38길 77,1,271104223078,0,77,0,502
74,대구광역시 중구 동인동3가 261-5번지,27110,10300,0,0261,0005,202008,대구광역시 중구 동덕로38길 39,1,271104223078,0,39,0,105
75,대구광역시 중구 동인동3가 267-2번지,27110,10300,0,0267,0002,202008,대구광역시 중구 동덕로40길 29,1,271104223079,0,29,0,105
76,대구광역시 중구 동인동3가 267-4번지,27110,10300,0,0267,0004,202008,대구광역시 중구 동덕로40길 27,1,271104223079,0,27,0,362
77,대구광역시 중구 동인동3가 269-2번지,27110,10300,0,0269,0002,202008,대구광역시 중구 동덕로40길 41,1,271104223079,0,41,0,152
78,대구광역시 중구 동인동3가 269-3번지,27110,10300,0,0269,0003,202008,대구광역시 중구 동덕로40길 39,1,271104223079,0,39,0,152
79,대구광역시 중구 동인동3가 270-4번지,27110,10300,0,0270,0004,202008,대구광역시 중구 동덕로40길 43,1,271104223079,0,43,0,327
80,대구광역시 중구 동인동3가 271-117번지,27110,10300,0,0271,0117,202008,대구광역시 중구 태평로51길 8-13,1,271104223149,0,8,13,152
81,대구광역시 중구 동인동3가 271-118번지,27110,10300,0,0271,0118,202008,대구광역시 중구 태평로51길 8-15,1,271104223149,0,8,15,245
