순번,대지위치,시군구코드,법정동코드,대지구분코드,번,지,사용년월,도로명대지위치,새주소일련번호,새주소도로코드,새주소지상지하코드,새주소본번,새주소부번,사용량(KWh)
1,대구광역시 남구 이천동 121-137번지,27200,10100,0,0121,0137,202008,대구광역시 남구 명덕로68길 2,1,272004232145,0,2,0,3747
2,대구광역시 남구 이천동 121-401번지,27200,10100,0,0121,0401,202008,대구광역시 남구 명덕로68길 43,1,272004232145,0,43,0,245
3,대구광역시 남구 이천동 121-70번지,27200,10100,0,0121,0070,202008,대구광역시 남구 명덕로68길 77,1,272004232145,0,77,0,148380
4,대구광역시 남구 이천동 159-8번지,27200,10100,0,0159,0008,202008,대구광역시 남구 이천로32길 39-2,1,272004232273,0,39,2,82
5,대구광역시 남구 이천동 184-13번지,27200,10100,0,0184,0013,202008,대구광역시 남구 대봉로34길 66,1,272004232103,0,66,0,525
6,대구광역시 남구 이천동 184-33번지,27200,10100,0,0184,0033,202008,대구광역시 남구 대봉로38길 23,1,272004232105,0,23,0,362
7,대구광역시 남구 이천동 184-7번지,27200,10100,0,0184,0007,202008,대구광역시 남구 대봉로38길 22,1,272004232105,0,22,0,1342
8,대구광역시 남구 이천동 193-18번지,27200,10100,0,0193,0018,202008,대구광역시 남구 명덕로 312,1,272003141013,0,312,0,1202
9,대구광역시 남구 이천동 193-29번지,27200,10100,0,0193,0029,202008,대구광역시 남구 대봉로38길 28,1,272004232105,0,28,0,152
10,대구광역시 남구 이천동 193-8번지,27200,10100,0,0193,0008,202008,대구광역시 남구 대봉로38길 29,1,272004232105,0,29,0,105
11,대구광역시 남구 이천동 196-7번지,27200,10100,0,0196,0007,202008,대구광역시 남구 대봉로34길 38-3,1,272004232103,0,38,3,257
12,대구광역시 남구 이천동 198-9번지,27200,10100,0,0198,0009,202008,대구광역시 남구 명덕로64길 35,1,272004232143,0,35,0,934
13,대구광역시 남구 이천동 199-7번지,27200,10100,0,0199,0007,202008,대구광역시 남구 명덕로64길 5,1,272004232143,0,5,0,876
14,대구광역시 남구 이천동 204-2번지,27200,10100,0,0204,0002,202008,대구광역시 남구 명덕로64길 57-2,1,272004232143,0,57,2,304
15,대구광역시 남구 이천동 214-456번지,27200,10100,0,0214,0456,202008,대구광역시 남구 명덕로68길 17,1,272004232145,0,17,0,112660
16,대구광역시 남구 이천동 243-1번지,27200,10100,0,0243,0001,202008,대구광역시 남구 대봉로26길 38,1,272004232099,0,38,0,80142
17,대구광역시 남구 이천동 253-2번지,27200,10100,0,0253,0002,202008,대구광역시 남구 대봉로26길 33,1,272004232099,0,33,0,9698
18,대구광역시 남구 이천동 258번지,27200,10100,0,0258,0000,202008,대구광역시 남구 대봉로 120,1,272003141012,0,120,0,11571
19,대구광역시 남구 이천동 268-17번지,27200,10100,0,0268,0017,202008,대구광역시 남구 명덕로68길 80,1,272004232145,0,80,0,280
20,대구광역시 남구 이천동 272-2번지,27200,10100,0,0272,0002,202008,대구광역시 남구 대봉로30길 36-8,1,272004232101,0,36,8,1845
21,대구광역시 남구 이천동 276-6번지,27200,10100,0,0276,0006,202008,대구광역시 남구 명덕로68길 66,1,272004232145,0,66,0,198
22,대구광역시 남구 이천동 279-5번지,27200,10100,0,0279,0005,202008,대구광역시 남구 명덕로64길 52,1,272004232143,0,52,0,210
23,대구광역시 남구 이천동 285-26번지,27200,10100,0,0285,0026,202008,대구광역시 남구 대봉로 150,1,272003141012,0,150,0,689
24,대구광역시 남구 이천동 291-51번지,27200,10100,0,0291,0051,202008,대구광역시 남구 대봉로34길 41,1,272004232103,0,41,0,984
25,대구광역시 남구 이천동 295-37번지,27200,10100,0,0295,0037,202008,대구광역시 남구 대봉로34길 6,1,272004232103,0,6,0,58
26,대구광역시 남구 이천동 300-5번지,27200,10100,0,0300,0005,202008,대구광역시 남구 대봉로 166,1,272003141012,0,166,0,187
27,대구광역시 남구 이천동 302-3번지,27200,10100,0,0302,0003,202008,대구광역시 남구 대봉로36길 17,1,272004232104,0,17,0,12
28,대구광역시 남구 이천동 302-6번지,27200,10100,0,0302,0006,202008,대구광역시 남구 대봉로34길 43,1,272004232103,0,43,0,82
29,대구광역시 남구 이천동 302-7번지,27200,10100,0,0302,0007,202008,대구광역시 남구 대봉로34길 47-3,1,272004232103,0,47,3,409
30,대구광역시 남구 이천동 303-3번지,27200,10100,0,0303,0003,202008,대구광역시 남구 대봉로34길 47-4,1,272004232103,0,47,4,105
31,대구광역시 남구 이천동 306-15번지,27200,10100,0,0306,0015,202008,대구광역시 남구 대봉로 172-4,1,272003141012,0,172,4,105
32,대구광역시 남구 이천동 306-1번지,27200,10100,0,0306,0001,202008,대구광역시 남구 대봉로38길 13-1,1,272004232105,0,13,1,70
33,대구광역시 남구 이천동 308-24번지,27200,10100,0,0308,0024,202008,대구광역시 남구 대봉로 182,1,272003141012,0,182,0,93
34,대구광역시 남구 이천동 308-25번지,27200,10100,0,0308,0025,202008,대구광역시 남구 대봉로 180,1,272003141012,0,180,0,233
35,대구광역시 남구 이천동 318-1번지,27200,10100,0,0318,0001,202008,대구광역시 남구 이천로28길 42-33,1,272004232270,0,42,33,1156
36,대구광역시 남구 이천동 320-26번지,27200,10100,0,0320,0026,202008,대구광역시 남구 이천로28길 8-51,1,272004232270,0,8,51,58
37,대구광역시 남구 이천동 361-161번지,27200,10100,0,0361,0161,202008,대구광역시 남구 희망로7길 22,1,272004232380,0,22,0,502
38,대구광역시 남구 이천동 361-163번지,27200,10100,0,0361,0163,202008,대구광역시 남구 희망로7길 18,1,272004232380,0,18,0,140
39,대구광역시 남구 이천동 361-16번지,27200,10100,0,0361,0016,202008,대구광역시 남구 희망로5길 12,1,272004232379,0,12,0,217725
40,대구광역시 남구 이천동 361-175번지,27200,10100,0,0361,0175,202008,대구광역시 남구 희망로 33,1,272003007015,0,33,0,233
41,대구광역시 남구 이천동 361-99번지,27200,10100,0,0361,0099,202008,대구광역시 남구 대봉로 103-2,1,272003141012,0,103,2,70
42,대구광역시 남구 이천동 383-14번지,27200,10100,0,0383,0014,202008,대구광역시 남구 이천로28길 22,1,272004232270,0,22,0,82
43,대구광역시 남구 이천동 388-1번지,27200,10100,0,0388,0001,202008,대구광역시 남구 이천로28길 37,1,272004232270,0,37,0,175
44,대구광역시 남구 이천동 388-20번지,27200,10100,0,0388,0020,202008,대구광역시 남구 이천로32길 27,1,272004232273,0,27,0,841
45,대구광역시 남구 이천동 388-22번지,27200,10100,0,0388,0022,202008,대구광역시 남구 이천로32길 23,1,272004232273,0,23,0,222
46,대구광역시 남구 이천동 388-27번지,27200,10100,0,0388,0027,202008,대구광역시 남구 이천로32길 19-2,1,272004232273,0,19,2,128
47,대구광역시 남구 이천동 388-44번지,27200,10100,0,0388,0044,202008,대구광역시 남구 이천로28길 34,1,272004232270,0,34,0,210
48,대구광역시 남구 이천동 389-14번지,27200,10100,0,0389,0014,202008,,1,,,,,409
49,대구광역시 남구 이천동 390-1번지,27200,10100,0,0390,0001,202008,대구광역시 남구 명덕로 266,1,272003141013,0,266,0,7950
