순번,대지위치,시군구코드,법정동코드,대지구분코드,번,지,사용년월,도로명대지위치,새주소일련번호,새주소도로코드,새주소지상지하코드,새주소본번,새주소부번,사용량(KWh)
1,대구광역시 서구 내당동 10-11번지,27170,10100,0,0010,0011,202008,대구광역시 서구 평리로78길 6,1,271704229356,0,6,0,35
2,대구광역시 서구 내당동 10-14번지,27170,10100,0,0010,0014,202008,대구광역시 서구 평리로 380,1,271703143015,0,380,0,3252
3,대구광역시 서구 내당동 10-1번지,27170,10100,0,0010,0001,202008,대구광역시 서구 통학로 54,1,271703143010,0,54,0,806
4,대구광역시 서구 내당동 10-3번지,27170,10100,0,0010,0003,202008,대구광역시 서구 평리로78길 8-12,1,271704229356,0,8,12,806
5,대구광역시 서구 내당동 1000-29번지,27170,10100,0,1000,0029,202008,대구광역시 서구 큰장로11길 14,1,271704229302,0,14,0,467
6,대구광역시 서구 내당동 1001-4번지,27170,10100,0,1001,0004,202008,대구광역시 서구 달서로6길 24,1,271704229113,0,24,0,618
7,대구광역시 서구 내당동 1002-20번지,27170,10100,0,1002,0020,202008,대구광역시 서구 달서로6길 28,1,271704229113,0,28,0,851
8,대구광역시 서구 내당동 1002-26번지,27170,10100,0,1002,0026,202008,대구광역시 서구 큰장로13길 2,1,271704229303,0,2,0,245
9,대구광역시 서구 내당동 1005-17번지,27170,10100,0,1005,0017,202008,대구광역시 서구 달서로12길 28-1,1,271704229083,0,28,1,816
10,대구광역시 서구 내당동 1005-1번지,27170,10100,0,1005,0001,202008,대구광역시 서구 달서로12길 40,1,271704229083,0,40,0,222
11,대구광역시 서구 내당동 1005-23번지,27170,10100,0,1005,0023,202008,대구광역시 서구 달서로12길 26,1,271704229083,0,26,0,747
12,대구광역시 서구 내당동 1005-25번지,27170,10100,0,1005,0025,202008,대구광역시 서구 달서로12길 24-1,1,271704229083,0,24,1,560
13,대구광역시 서구 내당동 1005-33번지,27170,10100,0,1005,0033,202008,대구광역시 서구 달서로12길 28,1,271704229083,0,28,0,2066
14,대구광역시 서구 내당동 1006-104번지,27170,10100,0,1006,0104,202008,대구광역시 서구 큰장로 87-14,1,271703141016,0,87,14,362
15,대구광역시 서구 내당동 1006-105번지,27170,10100,0,1006,0105,202008,대구광역시 서구 큰장로 87-9,1,271703141016,0,87,9,280
16,대구광역시 서구 내당동 1006-154번지,27170,10100,0,1006,0154,202008,대구광역시 서구 큰장로15길 13-1,1,271704229304,0,13,1,572
17,대구광역시 서구 내당동 1006-157번지,27170,10100,0,1006,0157,202008,대구광역시 서구 큰장로15길 13,1,271704229304,0,13,0,455
18,대구광역시 서구 내당동 1006-6번지,27170,10100,0,1006,0006,202008,대구광역시 서구 큰장로15길 12,1,271704229304,0,12,0,47
19,대구광역시 서구 내당동 1015-19번지,27170,10100,0,1015,0019,202008,대구광역시 서구 큰장로 97-2,1,271703141016,0,97,2,736
20,대구광역시 서구 내당동 1015-31번지,27170,10100,0,1015,0031,202008,대구광역시 서구 큰장로 101-33,1,271703141016,0,101,33,1039
21,대구광역시 서구 내당동 1018-118번지,27170,10100,0,1018,0118,202008,대구광역시 서구 국채보상로88길 35-11,1,271704229068,0,35,11,152
22,대구광역시 서구 내당동 1025-17번지,27170,10100,0,1025,0017,202008,대구광역시 서구 큰장로 109-23,1,271703141016,0,109,23,2305
23,대구광역시 서구 내당동 1026-11번지,27170,10100,0,1026,0011,202008,대구광역시 서구 큰장로 109-16,1,271703141016,0,109,16,12
24,대구광역시 서구 내당동 1027-3번지,27170,10100,0,1027,0003,202008,대구광역시 서구 큰장로25길 3-3,1,271704229307,0,3,3,304
25,대구광역시 서구 내당동 1028-39번지,27170,10100,0,1028,0039,202008,대구광역시 서구 국채보상로88길 15-1,1,271704229068,0,15,1,373
26,대구광역시 서구 내당동 1030-19번지,27170,10100,0,1030,0019,202008,대구광역시 서구 국채보상로88길 7,1,271704229068,0,7,0,269
27,대구광역시 서구 내당동 1037-2번지,27170,10100,0,1037,0002,202008,대구광역시 서구 큰장로 123,1,271703141016,0,123,0,747
28,대구광역시 서구 내당동 11-19번지,27170,10100,0,0011,0019,202008,대구광역시 서구 달서로9길 47-1,1,271704229115,0,47,1,198
29,대구광역시 서구 내당동 11-1번지,27170,10100,0,0011,0001,202008,대구광역시 서구 통학로 39,1,271703143010,0,39,0,52677
30,대구광역시 서구 내당동 11-33번지,27170,10100,0,0011,0033,202008,대구광역시 서구 달구벌대로371길 35,1,271704229077,0,35,0,5428
31,대구광역시 서구 내당동 11-45번지,27170,10100,0,0011,0045,202008,대구광역시 서구 달구벌대로371길 39,1,271704229077,0,39,0,245
32,대구광역시 서구 내당동 11-66번지,27170,10100,0,0011,0066,202008,대구광역시 서구 달구벌대로371길 43,1,271704229077,0,43,0,117
33,대구광역시 서구 내당동 11-8번지,27170,10100,0,0011,0008,202008,대구광역시 서구 통학로 46,1,271703143010,0,46,0,106956
34,대구광역시 서구 내당동 1104-15번지,27170,10100,0,1104,0015,202008,대구광역시 서구 큰장로 33-2,1,271703141016,0,33,2,128
35,대구광역시 서구 내당동 1104-3번지,27170,10100,0,1104,0003,202008,대구광역시 서구 큰장로 35,1,271703141016,0,35,0,82
36,대구광역시 서구 내당동 12-10번지,27170,10100,0,0012,0010,202008,대구광역시 서구 서대구로8길 65,1,271704229249,0,65,0,198
37,대구광역시 서구 내당동 12-21번지,27170,10100,0,0012,0021,202008,대구광역시 서구 통학로 31,1,271703143010,0,31,0,13860
38,대구광역시 서구 내당동 12-27번지,27170,10100,0,0012,0027,202008,대구광역시 서구 서대구로8길 67,1,271704229249,0,67,0,701
39,대구광역시 서구 내당동 12-28번지,27170,10100,0,0012,0028,202008,대구광역시 서구 통학로 23,1,271703143010,0,23,0,630
40,대구광역시 서구 내당동 12-36번지,27170,10100,0,0012,0036,202008,대구광역시 서구 통학로 35,1,271703143010,0,35,0,525
41,대구광역시 서구 내당동 12-8번지,27170,10100,0,0012,0008,202008,대구광역시 서구 달구벌대로365길 18,1,271704229076,0,18,0,526
42,대구광역시 서구 내당동 12-9번지,27170,10100,0,0012,0009,202008,대구광역시 서구 서대구로8길 63,1,271704229249,0,63,0,1062
43,대구광역시 서구 내당동 1290번지,27170,10100,0,1290,0000,202008,대구광역시 서구 달구벌대로 1827,1,271702007002,1,1827,0,321582
44,대구광역시 서구 내당동 13-19번지,27170,10100,0,0013,0019,202008,대구광역시 서구 서대구로8길 68,1,271704229249,0,68,0,444
45,대구광역시 서구 내당동 13-1번지,27170,10100,0,0013,0001,202008,대구광역시 서구 서대구로8길 64,1,271704229249,0,64,0,1600
46,대구광역시 서구 내당동 13-27번지,27170,10100,0,0013,0027,202008,대구광역시 서구 서대구로2길 67,1,271704229222,0,67,0,2346
47,대구광역시 서구 내당동 13-29번지,27170,10100,0,0013,0029,202008,대구광역시 서구 통학로 9,1,271703143010,0,9,0,5020
48,대구광역시 서구 내당동 13-40번지,27170,10100,0,0013,0040,202008,대구광역시 서구 통학로2길 3,1,271704229320,0,3,0,245
49,대구광역시 서구 내당동 13-9번지,27170,10100,0,0013,0009,202008,대구광역시 서구 서대구로2길 63,1,271704229222,0,63,0,117
50,대구광역시 서구 내당동 184-2번지,27170,10100,0,0184,0002,202008,대구광역시 서구 서대구로2길 49,1,271704229222,0,49,0,164
51,대구광역시 서구 내당동 20-7번지,27170,10100,0,0020,0007,202008,대구광역시 서구 평리로78길 4,1,271704229356,0,4,0,467
52,대구광역시 서구 내당동 202-1번지,27170,10100,0,0202,0001,202008,대구광역시 서구 서대구로8길 15,1,271704229249,0,15,0,31623
53,대구광역시 서구 내당동 202-6번지,27170,10100,0,0202,0006,202008,,1,,,,,39568
54,대구광역시 서구 내당동 209-2번지,27170,10100,0,0209,0002,202008,대구광역시 서구 달구벌대로361길 16,1,271704229074,0,16,0,2886
55,대구광역시 서구 내당동 209-89번지,27170,10100,0,0209,0089,202008,대구광역시 서구 달구벌대로361길 14,1,271704229074,0,14,0,187
56,대구광역시 서구 내당동 209-91번지,27170,10100,0,0209,0091,202008,대구광역시 서구 달구벌대로361길 12,1,271704229074,0,12,0,1543
57,대구광역시 서구 내당동 21-21번지,27170,10100,0,0021,0021,202008,대구광역시 서구 통학로 57,1,271703143010,0,57,0,735
58,대구광역시 서구 내당동 21-4번지,27170,10100,0,0021,0004,202008,대구광역시 서구 평리로 370,1,271703143015,0,370,0,4434
59,대구광역시 서구 내당동 211-1번지,27170,10100,0,0211,0001,202008,대구광역시 서구 달구벌대로357길 22,1,271704229073,0,22,0,7800
60,대구광역시 서구 내당동 211-4번지,27170,10100,0,0211,0004,202008,대구광역시 서구 서대구로8길 36,1,271704229249,0,36,0,280
61,대구광역시 서구 내당동 211-6번지,27170,10100,0,0211,0006,202008,대구광역시 서구 달구벌대로361길 25,1,271704229074,0,25,0,234
62,대구광역시 서구 내당동 211-7번지,27170,10100,0,0211,0007,202008,대구광역시 서구 달구벌대로361길 23,1,271704229074,0,23,0,817
63,대구광역시 서구 내당동 212-12번지,27170,10100,0,0212,0012,202008,대구광역시 서구 서대구로6길 33,1,271704229247,0,33,0,385
64,대구광역시 서구 내당동 212-7번지,27170,10100,0,0212,0007,202008,대구광역시 서구 서대구로6길 31-2,1,271704229247,0,31,2,199
65,대구광역시 서구 내당동 212-9번지,27170,10100,0,0212,0009,202008,대구광역시 서구 달구벌대로361길 21,1,271704229074,0,21,0,350
66,대구광역시 서구 내당동 215-10번지,27170,10100,0,0215,0010,202008,대구광역시 서구 달구벌대로357길 6-13,1,271704229073,0,6,13,385
67,대구광역시 서구 내당동 215-5번지,27170,10100,0,0215,0005,202008,대구광역시 서구 서대구로2길 37-7,1,271704229222,0,37,7,385
68,대구광역시 서구 내당동 216-4번지,27170,10100,0,0216,0004,202008,대구광역시 서구 달구벌대로361길 11,1,271704229074,0,11,0,607
69,대구광역시 서구 내당동 218-14번지,27170,10100,0,0218,0014,202008,대구광역시 서구 서대구로2길 40,1,271704229222,0,40,0,280
70,대구광역시 서구 내당동 218-1번지,27170,10100,0,0218,0001,202008,대구광역시 서구 달구벌대로 1777-5,1,271702007002,0,1777,5,269
71,대구광역시 서구 내당동 218-22번지,27170,10100,0,0218,0022,202008,대구광역시 서구 달구벌대로361길 7,1,271704229074,0,7,0,3013
72,대구광역시 서구 내당동 218-23번지,27170,10100,0,0218,0023,202008,대구광역시 서구 달구벌대로361길 5-18,1,271704229074,0,5,18,5325
73,대구광역시 서구 내당동 218-24번지,27170,10100,0,0218,0024,202008,대구광역시 서구 달구벌대로361길 5-14,1,271704229074,0,5,14,117
74,대구광역시 서구 내당동 219-16번지,27170,10100,0,0219,0016,202008,대구광역시 서구 달구벌대로 1801,1,271702007002,0,1801,0,1086
75,대구광역시 서구 내당동 219-25번지,27170,10100,0,0219,0025,202008,대구광역시 서구 달구벌대로 1795,1,271702007002,0,1795,0,10506
76,대구광역시 서구 내당동 219-6번지,27170,10100,0,0219,0006,202008,대구광역시 서구 달구벌대로 1793,1,271702007002,0,1793,0,7193
77,대구광역시 서구 내당동 220-14번지,27170,10100,0,0220,0014,202008,대구광역시 서구 달구벌대로 1773,1,271702007002,0,1773,0,68280
78,대구광역시 서구 내당동 220-19번지,27170,10100,0,0220,0019,202008,대구광역시 서구 달구벌대로 1781,1,271702007002,0,1781,0,947
79,대구광역시 서구 내당동 220-7번지,27170,10100,0,0220,0007,202008,대구광역시 서구 달구벌대로 1777-4,1,271702007002,0,1777,4,1810
80,대구광역시 서구 내당동 221-25번지,27170,10100,0,0221,0025,202008,대구광역시 서구 달구벌대로 1769,1,271702007002,0,1769,0,4460
81,대구광역시 서구 내당동 222-7번지,27170,10100,0,0222,0007,202008,대구광역시 서구 서대구로2길 10,1,271704229222,0,10,0,1708
82,대구광역시 서구 내당동 228-11번지,27170,10100,0,0228,0011,202008,대구광역시 서구 서대구로8길 16,1,271704229249,0,16,0,164
83,대구광역시 서구 내당동 228-3번지,27170,10100,0,0228,0003,202008,대구광역시 서구 서대구로8길 12,1,271704229249,0,12,0,175
84,대구광역시 서구 내당동 230-1번지,27170,10100,0,0230,0001,202008,대구광역시 서구 서대구로 38,1,271703143006,0,38,0,1869
85,대구광역시 서구 내당동 230-2번지,27170,10100,0,0230,0002,202008,대구광역시 서구 서대구로 36,1,271703143006,0,36,0,9481
