순번,대지위치,시군구코드,법정동코드,대지구분코드,번,지,사용년월,도로명대지위치,새주소일련번호,새주소도로코드,새주소지상지하코드,새주소본번,새주소부번,사용량(KWh)
1,대구광역시 수성구 범어동 1-5번지,27260,10100,0,0001,0005,202008,대구광역시 수성구 국채보상로 866,1,272603007001,0,866,0,30918
2,대구광역시 수성구 범어동 100-32번지,27260,10100,0,0100,0032,202008,대구광역시 수성구 범어로16길 32,1,272604238239,0,32,0,117
3,대구광역시 수성구 범어동 100-34번지,27260,10100,0,0100,0034,202008,대구광역시 수성구 범어로16길 40,1,272604238239,0,40,0,560
4,대구광역시 수성구 범어동 100-46번지,27260,10100,0,0100,0046,202008,대구광역시 수성구 범어로16길 36-4,1,272604238239,0,36,4,350
5,대구광역시 수성구 범어동 100-50번지,27260,10100,0,0100,0050,202008,대구광역시 수성구 범어로16길 28,1,272604238239,0,28,0,736
6,대구광역시 수성구 범어동 100-51번지,27260,10100,0,0100,0051,202008,대구광역시 수성구 범어로16길 22-1,1,272604238239,0,22,1,47
7,대구광역시 수성구 범어동 100-5번지,27260,10100,0,0100,0005,202008,대구광역시 수성구 달구벌대로504길 34,1,272604238069,0,34,0,22214
8,대구광역시 수성구 범어동 100-70번지,27260,10100,0,0100,0070,202008,대구광역시 수성구 달구벌대로504길 38,1,272604238069,0,38,0,2358
9,대구광역시 수성구 범어동 1003-11번지,27260,10100,0,1003,0011,202008,대구광역시 수성구 국채보상로162길 66,1,272604238033,0,66,0,58
10,대구광역시 수성구 범어동 1003-12번지,27260,10100,0,1003,0012,202008,대구광역시 수성구 국채보상로162길 58,1,272604238033,0,58,0,1472
11,대구광역시 수성구 범어동 1003-14번지,27260,10100,0,1003,0014,202008,,1,,,,,5838
12,대구광역시 수성구 범어동 1003-18번지,27260,10100,0,1003,0018,202008,대구광역시 수성구 국채보상로162길 72,1,272604238033,0,72,0,2278
13,대구광역시 수성구 범어동 1003-30번지,27260,10100,0,1003,0030,202008,대구광역시 수성구 국채보상로162길 64,1,272604238033,0,64,0,724
14,대구광역시 수성구 범어동 1003-37번지,27260,10100,0,1003,0037,202008,대구광역시 수성구 들안로78길 14,1,272604238183,0,14,0,187
