,대지위치,사용량(KWh),score
0,대구광역시 동구 동내동,122100.88888888886,20
1,대구광역시 중구 덕산동,76670.20833333331,20
2,대구광역시 북구 사수동,62477.807692307695,20
3,대구광역시 중구 계산동2가,62128.56451612902,20
4,대구광역시 달서구 대천동,56511.67910447762,20
5,대구광역시 북구 동천동,55090.07471264368,20
6,대구광역시 북구 동호동,52950.8,20
7,대구광역시 달서구 용산동,46613.214285714275,20
8,대구광역시 달서구 도원동,41841.26857142857,20
9,대구광역시 수성구 대흥동,41724.17647058824,20
10,대구광역시 동구 봉무동,41331.513368983964,20
11,대구광역시 달서구 유천동,40422.622641509435,20
12,대구광역시 동구 사복동,39494.181818181816,20
13,대구광역시 수성구 범물동,38740.83823529412,20
14,대구광역시 수성구 매호동,37849.48148148148,20
15,대구광역시 동구 신서동,37061.626086956516,20
16,대구광역시 달서구 월성동,35744.4375,20
17,대구광역시 달서구 신당동,35540.723958333336,20
18,대구광역시 북구 구암동,35260.788888888885,20
19,대구광역시 동구 대림동,34564.52,20
20,대구광역시 달서구 파호동,33568.454545454544,20
21,대구광역시 수성구 신매동,30878.265116279068,20
22,대구광역시 북구 국우동,30197.701492537315,20
23,대구광역시 동구 율하동,28855.302788844623,20
24,대구광역시 수성구 사월동,28700.696969696968,20
25,대구광역시 달서구 이곡동,26924.13858695652,20
26,대구광역시 중구 삼덕동2가,26604.80346820809,20
27,대구광역시 중구 동성로2가,25903.531914893618,20
28,대구광역시 달서구 상인동,25546.307829181493,20
29,대구광역시 북구 학정동,23779.824120603014,20
30,대구광역시 동구 각산동,23322.042424242423,20
31,대구광역시 달서구 대곡동,23176.368715083798,20
32,대구광역시 수성구 수성동3가,21895.88695652174,20
33,대구광역시 서구 원대동2가,21825.05555555556,20
34,대구광역시 수성구 만촌동,21818.09906759907,20
35,대구광역시 수성구 노변동,21607.508474576272,20
36,대구광역시 북구 칠성동2가,21329.306603773584,20
37,대구광역시 달성군 다사읍,21214.45737211635,20
38,대구광역시 달성군 유가읍,21172.047945205482,20
39,대구광역시 중구 사일동,20508.761904761905,20
40,대구광역시 중구 동인동2가,19042.97142857143,20
41,대구광역시 북구 관음동,18798.029411764706,20
42,대구광역시 중구 하서동,18691.4,20
43,대구광역시 북구 매천동,18137.753623188404,20
44,대구광역시 수성구 범어동,18021.021217712176,20
45,대구광역시 중구 문화동,17289.222222222223,20
46,대구광역시 동구 상매동,17040.103448275862,20
47,대구광역시 수성구 두산동,16987.1185031185,20
48,대구광역시 동구 신천동,16685.85547290117,20
49,대구광역시 북구 태전동,16665.04779411765,20
50,대구광역시 북구 동변동,16626.91089108911,20
51,대구광역시 서구 상리동,16121.642335766423,20
52,대구광역시 달서구 본리동,16070.993670886077,15
53,대구광역시 달서구 감삼동,15859.800376647834,15
54,대구광역시 수성구 욱수동,15003.774647887325,15
55,대구광역시 중구 수동,14895.628571428571,15
56,대구광역시 수성구 황금동,14810.57627118644,15
57,대구광역시 북구 고성동3가,14170.664335664336,15
58,대구광역시 중구 남일동,14037.6301369863,15
59,대구광역시 수성구 시지동,14001.822660098524,15
60,대구광역시 수성구 지산동,13543.48417721519,15
61,대구광역시 동구 숙천동,13351.210526315792,15
62,대구광역시 북구 서변동,12995.423076923076,15
63,대구광역시 달서구 진천동,12689.73903508772,15
64,대구광역시 북구 복현동,12651.173626373626,15
65,대구광역시 수성구 수성동1가,12604.564315352696,15
66,대구광역시 달서구 장기동,12591.007326007326,15
67,대구광역시 북구 읍내동,12469.480446927375,15
68,대구광역시 달서구 호산동,12330.160919540229,15
69,대구광역시 북구 침산동,12297.983892617449,15
70,대구광역시 수성구 수성동4가,11763.289682539682,15
71,대구광역시 달서구 본동,11131.678861788618,15
72,대구광역시 중구 삼덕동1가,10869.480620155038,15
73,대구광역시 달성군 현풍읍,10822.342105263158,15
74,대구광역시 달서구 월암동,10569.632352941175,15
75,대구광역시 북구 산격동,10227.364051789797,15
76,대구광역시 북구 팔달동,9994.215568862275,15
77,대구광역시 동구 지묘동,9958.8828125,15
78,대구광역시 달성군 유가면,9867.192307692309,15
79,대구광역시 중구 태평로1가,9411.4,15
80,대구광역시 동구 동호동,9300.623188405798,15
81,대구광역시 중구 동산동,9251.853448275862,15
82,대구광역시 달서구 호림동,9163.303225806452,15
83,대구광역시 동구 용계동,9140.849056603774,15
84,대구광역시 서구 평리동,8927.726483357454,15
85,대구광역시 중구 동성로3가,8905.396396396396,15
86,대구광역시 동구 효목동,8705.734499205088,15
87,대구광역시 동구 신암동,8540.43268337976,15
88,대구광역시 중구 대봉동,8255.73831775701,15
89,대구광역시 달성군 화원읍,8242.139534883721,15
90,대구광역시 중구 공평동,8197.145251396649,15
91,대구광역시 서구 중리동,7991.960707269155,15
92,대구광역시 동구 방촌동,7985.036,15
93,대구광역시 동구 신기동,7923.673202614379,15
94,대구광역시 북구 대현동,7839.857142857143,15
95,대구광역시 달서구 성당동,7816.8391472868225,15
96,대구광역시 중구 수창동,7788.4454545454555,15
97,대구광역시 서구 내당동,7774.4295454545445,15
98,대구광역시 중구 대신동,7708.256235827665,15
99,대구광역시 달서구 두류동,7696.795857988166,15
100,대구광역시 중구 포정동,7663.389830508475,15
101,대구광역시 수성구 파동,7409.918103448276,15
102,대구광역시 중구 동일동,7244.222222222223,15
103,대구광역시 수성구 상동,7242.307855626327,15
104,대구광역시 중구 동인동1가,7141.61111111111,10
105,대구광역시 달서구 송현동,7016.258706467663,10
106,대구광역시 중구 남산동,6852.302375809935,10
107,대구광역시 동구 검사동,6667.053097345131,10
108,대구광역시 남구 이천동,6574.845921450152,10
109,대구광역시 서구 이현동,6513.205689277899,10
110,대구광역시 중구 태평로2가,6513.044444444445,10
111,대구광역시 달성군 구지면,6443.127853881279,10
112,대구광역시 남구 봉덕동,6380.402723735409,10
113,대구광역시 북구 금호동,6277.245614035088,10
114,대구광역시 동구 율암동,6196.0,10
115,대구광역시 중구 삼덕동3가,6095.707482993197,10
116,대구광역시 수성구 중동,6009.133689839571,10
117,대구광역시 수성구 수성동2가,5983.711442786071,10
118,대구광역시 달서구 죽전동,5917.7642857142855,10
119,대구광역시 동구 도학동,5859.760869565217,10
120,대구광역시 서구 비산동,5818.8430678466075,10
121,대구광역시 동구 괴전동,5797.759036144577,10
122,대구광역시 남구 대명동,5789.238191632929,10
123,대구광역시 달성군 옥포읍,5783.5812417437255,10
124,대구광역시 중구 태평로3가,5673.6,10
125,대구광역시 달성군 논공읍,5668.8891170431225,10
126,대구광역시 달서구 갈산동,5654.679347826086,10
127,대구광역시 북구 노원동3가,5338.722560975611,10
128,대구광역시 중구 봉산동,5226.616519174041,10
129,대구광역시 중구 종로2가,5079.140845070423,10
130,대구광역시 동구 덕곡동,5027.672413793103,10
131,대구광역시 동구 지저동,4949.9246861924685,10
132,대구광역시 동구 입석동,4878.270440251572,10
133,대구광역시 중구 향촌동,4789.742857142857,10
134,대구광역시 동구 진인동,4764.9629629629635,10
135,대구광역시 중구 상서동,4552.384615384615,10
136,대구광역시 동구 불로동,4437.974452554745,10
137,대구광역시 동구 송정동,4427.0,10
138,대구광역시 중구 종로1가,4141.8375,10
139,대구광역시 서구 원대동3가,4139.128205128205,10
140,대구광역시 중구 서문로2가,4048.977272727273,10
141,대구광역시 동구 신무동,4044.5,10
142,대구광역시 북구 검단동,3971.450184501845,10
143,대구광역시 중구 동성로1가,3969.6379310344832,10
144,대구광역시 달성군 가창면,3869.7600849256896,10
145,대구광역시 중구 장관동,3860.571428571429,10
146,대구광역시 달서구 장동,3835.351190476191,10
147,대구광역시 중구 동문동,3777.7798165137615,10
148,대구광역시 동구 용수동,3647.3829787234054,10
149,대구광역시 동구 서호동,3646.243243243243,10
150,대구광역시 중구 전동,3645.666666666666,10
151,대구광역시 중구 북성로1가,3559.085106382979,10
152,대구광역시 수성구 연호동,3540.036363636364,10
153,대구광역시 동구 중대동,3404.072,10
154,대구광역시 수성구 삼덕동,3332.7727272727275,10
155,대구광역시 중구 남성로,3162.8470588235296,10
156,대구광역시 북구 도남동,3031.730769230769,5
157,대구광역시 중구 동인동4가,2990.267543859649,5
158,대구광역시 북구 칠성동1가,2980.502688172043,5
159,대구광역시 동구 신평동,2980.3379310344826,5
160,대구광역시 중구 북내동,2869.666666666666,5
161,대구광역시 북구 노원동1가,2832.0772532188844,5
162,대구광역시 북구 노원동2가,2827.047272727273,5
163,대구광역시 동구 금강동,2720.6315789473683,5
164,대구광역시 동구 능성동,2564.708333333333,5
165,대구광역시 수성구 이천동,2523.1739130434785,5
166,대구광역시 중구 교동,2479.5343511450383,5
167,대구광역시 중구 서문로1가,2440.521739130435,5
168,대구광역시 중구 서성로2가,2387.555555555556,5
169,대구광역시 중구 인교동,2341.605769230769,5
170,대구광역시 수성구 가천동,2279.217391304348,5
171,대구광역시 동구 백안동,2168.428571428572,5
172,대구광역시 수성구 고모동,2150.3695652173915,5
173,대구광역시 중구 동인동3가,2050.7633136094673,5
174,대구광역시 동구 도동,2011.6879999999999,5
175,대구광역시 북구 조야동,1985.8909090909087,5
176,대구광역시 중구 대안동,1943.1538461538464,5
177,대구광역시 중구 계산동1가,1869.40625,5
178,대구광역시 중구 용덕동,1857.0566037735848,5
179,대구광역시 북구 고성동2가,1807.2314049586773,5
180,대구광역시 중구 서내동,1667.7407407407404,5
181,대구광역시 중구 시장북로,1643.909090909091,5
182,대구광역시 동구 부동,1533.1157894736841,5
183,대구광역시 달성군 하빈면,1531.4215017064844,5
184,대구광역시 북구 노곡동,1523.458333333333,5
185,대구광역시 중구 달성동,1506.3294117647058,5
186,대구광역시 서구 원대동1가,1488.2,5
187,대구광역시 중구 완전동,1436.7777777777776,5
188,대구광역시 중구 화전동,1355.032786885246,5
189,대구광역시 중구 서성로1가,1271.2096774193546,5
190,대구광역시 수성구 성동,1153.9333333333334,5
191,대구광역시 중구 상덕동,1065.1333333333334,5
192,대구광역시 동구 둔산동,1024.939393939394,5
193,대구광역시 동구 미곡동,1015.0,5
194,대구광역시 중구 서야동,1011.0793650793653,5
195,대구광역시 동구 내곡동,983.1666666666665,5
196,대구광역시 달성군 옥포면,746.0,5
197,대구광역시 북구 연경동,740.1071428571429,5
198,대구광역시 중구 북성로2가,735.6621621621623,5
199,대구광역시 동구 미대동,575.71875,5
200,대구광역시 동구 매여동,543.2222222222222,5
