,대지위치,사용량(KWh),Gscore
0,대구광역시 달서구 장동,716913.0,20
1,대구광역시 수성구 고모동,639592.0,20
2,대구광역시 수성구 삼덕동,411954.0,20
3,대구광역시 동구 동내동,177873.3333,20
4,대구광역시 북구 동호동,155513.0,20
5,대구광역시 수성구 사월동,135506.8182,20
6,대구광역시 달서구 유천동,91644.47058823527,20
7,대구광역시 수성구 대흥동,82361.66667,20
8,대구광역시 중구 문화동,77684.18182,20
9,대구광역시 북구 사수동,71441.95,20
10,대구광역시 동구 봉무동,68800.62857,20
11,대구광역시 달서구 신당동,68700.84722222223,20
12,대구광역시 달성군 옥포읍,67888.19047619047,20
13,대구광역시 달성군 옥포읍,67888.19047619047,20
14,대구광역시 수성구 수성동3가,66095.84615,20
15,대구광역시 북구 국우동,65614.23529411765,20
16,대구광역시 달성군 유가읍,63473.09615384616,20
17,대구광역시 달성군 유가읍,63473.09615384616,20
18,대구광역시 북구 학정동,59938.82258064517,20
19,대구광역시 중구 삼덕동2가,59726.7069,20
20,대구광역시 중구 동성로2가,57790.14286,20
21,대구광역시 중구 동인동2가,49904.9,20
22,대구광역시 수성구 매호동,47370.02381,20
23,대구광역시 수성구 범물동,46561.20313,20
24,대구광역시 중구 계산동2가,45733.0,20
25,대구광역시 동구 지묘동,43116.133330000004,20
26,대구광역시 수성구 신매동,40044.47525,20
27,대구광역시 중구 수창동,38754.5,20
28,대구광역시 수성구 욱수동,37167.46667,20
29,대구광역시 북구 팔달동,36215.5,20
30,대구광역시 중구 덕산동,36107.83333,20
31,대구광역시 동구 각산동,35664.60976,20
32,대구광역시 동구 신서동,35430.57303,20
33,대구광역시 수성구 노변동,34985.64706,20
34,대구광역시 달서구 도원동,32446.33333333333,20
35,대구광역시 수성구 시지동,32392.0,20
36,대구광역시 북구 구암동,31802.115789473683,20
37,대구광역시 동구 율하동,31371.49123,20
38,대구광역시 북구 칠성동2가,31245.542553191488,20
39,대구광역시 북구 연경동,30633.5,20
40,대구광역시 중구 하서동,30333.0,20
41,대구광역시 동구 괴전동,28559.533330000002,20
42,대구광역시 북구 동천동,27971.1186440678,20
43,대구광역시 수성구 범어동,25266.78873,20
44,대구광역시 북구 노원동3가,24571.95238095238,20
45,대구광역시 동구 동호동,24537.02041,15
46,대구광역시 북구 동변동,24502.696969696968,15
47,대구광역시 수성구 수성동4가,24370.96,15
48,대구광역시 달성군 가창면,24197.857142857134,15
49,대구광역시 달성군 가창면,24197.857142857134,15
50,대구광역시 달성군 현풍읍,23710.17647058824,15
51,대구광역시 달성군 현풍읍,23710.17647058824,15
52,대구광역시 달서구 월암동,23243.83333333333,15
53,대구광역시 달서구 월성동,22905.85526315789,15
54,대구광역시 달성군 구지면,22756.354838709678,15
55,대구광역시 달성군 구지면,22756.354838709678,15
56,대구광역시 중구 동일동,21523.5,15
57,대구광역시 중구 포정동,21421.33333,15
58,대구광역시 북구 서변동,20510.568627450983,15
59,대구광역시 북구 칠성동1가,20438.0,15
60,대구광역시 수성구 황금동,20070.5125,15
61,대구광역시 중구 남일동,19562.6,15
62,대구광역시 북구 침산동,19545.10429447853,15
63,대구광역시 수성구 만촌동,19447.440730000002,15
64,대구광역시 달서구 용산동,19369.253731343284,15
65,대구광역시 수성구 이천동,19136.5,15
66,대구광역시 달성군 다사읍,18623.60569105691,15
67,대구광역시 달성군 다사읍,18623.60569105691,15
68,대구광역시 달성군 화원읍,18394.50675675676,15
69,대구광역시 달성군 화원읍,18394.50675675676,15
70,대구광역시 북구 매천동,18113.295081967208,15
71,대구광역시 동구 신천동,17956.09474,15
72,대구광역시 중구 태평로3가,17478.1,15
73,대구광역시 북구 관음동,17042.224137931036,15
74,대구광역시 북구 태전동,16892.80693069307,15
75,대구광역시 달서구 파호동,16771.0,15
76,대구광역시 북구 읍내동,16247.310924369749,15
77,대구광역시 수성구 수성동1가,15746.300969999998,15
78,대구광역시 달서구 상인동,15593.453846153847,15
79,대구광역시 달서구 대곡동,15458.23076923077,15
80,대구광역시 수성구 연호동,15045.75,15
81,대구광역시 중구 수동,14743.1,15
